startup_id,company_name,primary_sector,company_stage,city,state,founding_year,age_years,completeness_pct,tier,source_quality_pct,freshness_pct,conflict_level,notes
S0029,LeadSquared,SaaS / CRM,Unicorn (Series C),Bengaluru,Karnataka,,,93.8,Fully researched,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0030,MoEngage,SaaS / customer engagement,"Late (Series F, pre-IPO)",Bengaluru,Karnataka,2014,12,72.9,Deep,100.0,100,moderate,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0031,Moneyview,fintech / digital lending,"Unicorn, IPO-bound (DRHP filed)",Bengaluru,Karnataka,2014,12,66.7,Deep,100.0,100,moderate,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0032,Mu Sigma,analytics / decision sciences / AI,Mature unicorn (private),Bengaluru,Karnataka,2004,22,97.9,Fully researched,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0033,Netradyne,AI / computer vision / fleet safety telematics,Unicorn (Series D),Bengaluru,Karnataka,2015,11,72.9,Deep,100.0,100,low,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0034,Postman,saas/api dev,"Unicorn (Series D, private)",Bengaluru,Karnataka,2014,12,91.7,Fully researched,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0035,Zeta,fintech/card infra,unicorn,Bengaluru,Karnataka,2015,11,91.7,Fully researched,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0036,Flipkart,ecommerce,mature private (decacorn),Bengaluru,Karnataka,2007,19,91.7,Fully researched,86.7,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0037,Porter,logistics,unicorn (2025),Bengaluru,Karnataka,2014,12,85.4,Intelligence-grade,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0038,Unacademy,edtech,acquired/ex-Unicorn,Bengaluru,Karnataka,2015,11,87.5,Intelligence-grade,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0039,Vedantu,edtech live classes,unicorn,Bengaluru,Karnataka,2014,12,54.2,Enriched,100.0,100,none,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0040,Zetwerk,b2b manufacturing,"unicorn (late-stage, IPO pipeline)",Bengaluru,Karnataka,2018,8,95.8,Fully researched,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0041,Dream11 (Dream Sports),gaming/fantasy sports,Unicorn,Mumbai,Maharashtra,2008,18,68.8,Deep,100.0,100,moderate,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0042,InMobi,adtech,"Unicorn (late stage, IPO-bound)",Bengaluru,Karnataka,2007,19,95.8,Fully researched,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0043,Nykaa,D2C beauty / beauty-tech retail,Public,Mumbai,Maharashtra,2012,14,68.8,Deep,100.0,100,none,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0044,Rebel Foods,foodtech/cloud kitchen,"Unicorn (late-stage, pre-IPO)",Mumbai,Maharashtra,2011,15,93.8,Fully researched,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0045,Drools,D2C pet food / consumer goods,Late stage / unicorn (May 2025),Bengaluru,,2009,17,81.2,Intelligence-grade,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0046,Fractal Analytics,enterprise AI/analytics,Public (listed Feb 2026; ex-unicorn),Mumbai,Maharashtra,2000,26,64.6,Deep,100.0,100,low,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0047,Jumbotail,B2B ecommerce (food & grocery),"Unicorn (Series D, June 2025, >$1B post-money)","Bengaluru, Karnataka",,2015,11,93.8,Fully researched,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0048,Livspace,Home interiors marketplace,"Unicorn (Series F, Feb 2022, $1.2B)",Bengaluru,,2014,12,91.7,Fully researched,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0049,Meesho,Horizontal ecommerce / social commerce,Public (IPO Dec 2025),"Bengaluru, Karnataka",,2015,11,93.8,Fully researched,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0050,Ola (ANI Technologies),Mobility / road transport tech,"Late stage Series J; markdown era (Vanguard marks down to ~$2B Nov 2024, $70M Feb 2026 per ET snippet)",Bengaluru,Karnataka,2010,16,50.0,Enriched,100.0,100,low,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0051,Rapido,Mobility / road transport tech (bike taxi-led multimodal),Series F; $3B post-money (May 2026),"Bengaluru, Karnataka",,2015,11,95.8,Fully researched,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0052,ShareChat,social media,late / pre-IPO (unicorn),Bengaluru,Karnataka,2015,11,93.8,Fully researched,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0053,Apna,hr-tech/jobs,Series C / unicorn,Bengaluru,Karnataka,2019,7,95.8,Fully researched,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0054,BharatPe,fintech payments/lending,Unicorn (Series E),New Delhi,,2018,8,70.8,Deep,63.3,100,low,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0055,Euler Motors,ev commercial,Series E / growth,Delhi,,2018,8,87.5,Intelligence-grade,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0056,Fibe (EarlySalary),fintech lending,Series E / IPO-bound (DRHP chatter 2025),Pune,,2015,11,39.6,Basic,50.0,100,moderate,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0057,Innovaccer,healthtech saas/ai,Unicorn (Series F),Noida,Uttar Pradesh,2014,12,56.2,Enriched,60.0,100,low,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0058,Pixxel,spacetech,growth (Series C),Bengaluru,Karnataka,,,79.2,Intelligence-grade,100.0,100,moderate,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0059,Ecofy Finance (Ecofy),fintech lending green,growth (Series B),Mumbai,Maharashtra,2022,4,58.3,Enriched,100.0,100,low,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0060,Miko Technologies,edtech robotics / consumer AI robots,Series D (soonicorn),Mumbai,Maharashtra,2015,11,58.3,Enriched,93.3,100,low,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0061,Nua,healthtech / femtech D2C wellness,Series C,Mumbai,Maharashtra,2017,9,83.3,Intelligence-grade,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0062,Truemeds,healthtech pharmacy,Series C,Mumbai,Maharashtra,2019,7,89.6,Intelligence-grade,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0063,Weaver Services,fintech (housing finance),Growth,Mumbai,Maharashtra,2024,2,91.7,Fully researched,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0064,NoBroker,proptech,Series E / unicorn,Bengaluru,Karnataka,2014,12,93.8,Fully researched,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0065,Skyroot Aerospace,spacetech launch,Unicorn,Hyderabad,Telangana,2018,8,60.4,Deep,66.7,100,low,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0066,Digantara,spacetech ssa,Series B / growth,Bengaluru,Karnataka,2020,6,85.4,Intelligence-grade,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0067,Games24x7,gaming (real-money skill gaming),"Unicorn (Series C-era; $2.5B, 2022)",Mumbai,Maharashtra,2006,20,89.6,Intelligence-grade,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0068,Infra.Market,B2B construction materials,"unicorn, pre-IPO (confidential DRHP filed)",Thane,,2016,10,97.9,Fully researched,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0069,Kinara AI,edge-ai chips,acquired,Hyderabad,,2014,12,37.5,Basic,90.0,100,low,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0070,Navi,fintech,late,Bengaluru,Karnataka,2018,8,93.8,Fully researched,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0071,Ninjacart,agritech supply chain,Series D/E late,Bengaluru,Karnataka,2015,11,91.7,Fully researched,83.3,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0072,Pine Labs,fintech,Public (listed Nov 2025),Noida,Uttar Pradesh,1998,28,87.5,Intelligence-grade,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0073,River Mobility,EV two-wheeler,Series C,Bengaluru,,2021,5,50.0,Enriched,100.0,100,low,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0074,Rocketlane,SaaS (PSA / onboarding),Series C,Chennai,,2020,6,52.1,Enriched,100.0,100,low,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0075,Ultrahuman,healthtech / wearables,Series C,Bengaluru,Karnataka,2019,7,93.8,Fully researched,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0076,Third Wave Coffee,F&B / coffee chain (QSR),Growth (Series C+),Bengaluru,Karnataka,2016,10,81.2,Intelligence-grade,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0077,Celcius Logistics,logistics cold chain,Series B,Navi Mumbai,,2020,6,62.5,Deep,56.7,100,low,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0078,Square Yards,proptech,Unicorn (pre-IPO),Gurugram,Haryana,2014,12,91.7,Fully researched,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0079,Wint Wealth,fintech wealthtech,Series B,Bengaluru,Karnataka,2020,6,54.2,Enriched,53.3,100,low,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0080,Airbound,Aerospace / drone logistics,Early (Series A),Bengaluru,Karnataka,2023,3,43.8,Enriched,40.0,100,none,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0081,Ati Motors,Robotics / industrial automation (AMR),Growth (Series B),Bengaluru,Karnataka,2017,9,47.9,Enriched,73.3,100,moderate,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0082,Sapiom,AI infrastructure / agentic tooling,Early (Series A),San Francisco,,,,35.4,Basic,50.0,100,low,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0083,boAt,consumer electronics,Late/pre-IPO (UDRHP filed),Delhi NCR,,2016,10,56.2,Enriched,76.7,100,low,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0084,MobiKwik,fintech,Public (listed Dec 2024),Gurugram,Haryana,2008,18,62.5,Deep,100.0,100,low,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0085,OfBusiness,B2B supply-chain commerce / fintech,Unicorn (Series G+),Gurugram,Haryana,2015,11,97.9,Fully researched,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0086,Pristyn Care,healthtech (elective surgery chain),Unicorn (Series E),Gurugram,Haryana,2018,8,68.8,Deep,100.0,100,moderate,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0087,Swish,Foodtech / 10-min food delivery,Early (Series B),Bengaluru,Karnataka,2024,2,83.3,Intelligence-grade,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0088,Hang Ten Systems,AI enterprise software services,seed,Bengaluru,Karnataka,2026,0,37.5,Basic,53.3,100,none,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0089,Moonrider,EV tractors / agri-tech,series-a,Bengaluru,Karnataka,,,43.8,Enriched,40.0,100,none,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0090,Toddle,edtech SaaS,series-a,Bengaluru,Karnataka,2019,7,100.0,Fully researched,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0091,Inito,healthtech diagnostics,series-b,Bengaluru,Karnataka,2015,11,39.6,Basic,53.3,100,low,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0092,Akasa Air,aviation,growth,Mumbai,Maharashtra,2021,5,97.9,Fully researched,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0093,EatClub (BOX8),foodtech cloud kitchen,late (Series D),Mumbai,Maharashtra,2012,14,87.5,Intelligence-grade,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0094,Eruditus,edtech exec education,late (Series F unicorn),Mumbai,Maharashtra,2010,16,87.5,Intelligence-grade,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0095,Innovist,d2c beauty,acquired-majority (Series B),Gurugram,Haryana,2018,8,91.7,Fully researched,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0096,Leap (LeapScholar),edtech study-abroad,late (Series E),Bengaluru,Karnataka,2019,7,89.6,Intelligence-grade,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0097,Nazara Technologies,gaming diversified,listed,Mumbai,Maharashtra,1999,27,50.0,Enriched,100.0,100,none,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0098,Neo (Neo Wealth),wealthtech / financial services,growth (Series C / PE-backed),Mumbai,Maharashtra,2021,5,95.8,Fully researched,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0099,Stellapps,agritech (dairy tech),late (Series C),Bengaluru,Karnataka,2011,15,45.8,Enriched,66.7,100,none,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0100,Purple Style Labs,D2C luxury fashion / fashion-tech,public (IPO Sep 2026; Series E prior),Mumbai,Maharashtra,2015,11,93.8,Fully researched,70.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0101,Zypp Electric,EV fleet / logistics tech,"late (Series C, pre-IPO)",Gurugram,Haryana,2017,9,50.0,Enriched,70.0,100,low,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0102,Business Nextgen Finance,fintech / NBFC,seed/first institutional (RBI CoR Sep 2025),Mumbai,Maharashtra,2025,1,41.7,Enriched,70.0,100,low,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0103,EtherealX (Ethereal Exploration),spacetech launch,Series A,Bengaluru,Karnataka,2022,4,56.2,Enriched,56.7,100,moderate,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0104,QNu Labs,cybersecurity / quantum,Series A,Bengaluru,Karnataka,2016,10,89.6,Intelligence-grade,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0105,Ultraviolette,ev motorcycles,Series E,Bengaluru,Karnataka,2016,10,56.2,Enriched,100.0,100,low,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0106,Curefoods,foodtech cloud kitchen,late (Series D + DRHP filed; IPO deferred),Bengaluru,Karnataka,2020,6,87.5,Intelligence-grade,100.0,100,moderate,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0107,Dezerv,wealthtech,Series C,Mumbai,Maharashtra,2021,5,56.2,Enriched,86.7,100,moderate,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0108,Edubuk,edtech / HR-tech (AI + blockchain credentials),Series B,Bengaluru,Karnataka,2019,7,81.2,Intelligence-grade,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0109,EloElo,gaming livestream / social entertainment / micro-drama,Series B,Bengaluru,Karnataka,2020,6,89.6,Intelligence-grade,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0110,GIVA,D2C jewellery,Series C (extended),Bengaluru,Karnataka,2019,7,87.5,Intelligence-grade,100.0,100,moderate,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0111,Impetus Technologies,enterprise / data & AI services,growth/private (PE-backed),Bengaluru,Karnataka,1991,35,37.5,Basic,73.3,100,none,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0112,Moglix,B2B e-commerce / industrial supply chain,Unicorn (Series F),Noida,Uttar Pradesh,2015,11,75.0,Intelligence-grade,100.0,100,moderate,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0113,MPL (Mobile Premier League),gaming / esports,unicorn (late-stage),Bengaluru,Karnataka,2018,8,39.6,Basic,40.0,100,none,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0114,PhysicsWallah,EdTech,Public / Listed,Noida,Uttar Pradesh,2020,6,56.2,Enriched,50.0,100,none,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0115,Popo Global,FoodTech / QSR,Growth / Late Stage,Bengaluru,Karnataka,2017,9,47.9,Enriched,46.7,100,none,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0116,Shadowfax,Logistics,Public / Listed,Bengaluru,Karnataka,2015,11,60.4,Deep,66.7,100,none,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0117,Smallcase,WealthTech,Late Stage / Series D,Bengaluru,Karnataka,,,62.5,Deep,50.0,100,none,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0118,StockGro,WealthTech / Investment Tech,Growth / Series B,Bengaluru,Karnataka,,,95.8,Fully researched,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0119,Yulu,Mobility / EV,Series C,Bengaluru,Karnataka,,,95.8,Fully researched,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0120,Zenoti,Beauty-Tech SaaS,Series D / PE-backed,Hyderabad,Telangana,2010,16,91.7,Fully researched,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0121,Exxat,EdTech / Healthcare Education SaaS,Series C / PE-backed,Bengaluru,Karnataka,2011,15,45.8,Enriched,100.0,100,low,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0122,Bellatrix Aerospace,Spacetech Propulsion,Pre-Series B,Bengaluru,Karnataka,2015,11,50.0,Enriched,100.0,100,low,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0123,Foxtale,D2C Beauty / Skincare,Series C,Mumbai,Maharashtra,2021,5,87.5,Intelligence-grade,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0124,GalaxEye,spacetech EO,Series A (extended),Bengaluru,Karnataka,2021,5,37.5,Basic,73.3,100,none,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0125,HerSpace Manufacturing,proptech / workforce housing,Growth (committed capital),Bengaluru,Karnataka,2023,3,77.1,Intelligence-grade,96.7,100,moderate,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0126,Snitch,D2C fashion,Series B,Bengaluru,Karnataka,2018,8,87.5,Intelligence-grade,100.0,100,moderate,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0127,OneCard (FPL Technologies),fintech/credit cards,Series D (ongoing),Pune,Maharashtra,2019,7,39.6,Basic,66.7,0,none,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0128,Rezolv,fintech,Series A,Mumbai,Maharashtra,2024,2,89.6,Intelligence-grade,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0129,JustAI,ai marketing saas,Series A,San Francisco,"California, USA",2024,2,37.5,Basic,86.7,100,moderate,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0130,BGauss,ev two-wheeler,Series D (late stage),Mumbai,Maharashtra,2020,6,89.6,Intelligence-grade,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0131,Emo Energy,ev battery fast-charge,pre-Series B,Bengaluru,Karnataka,2022,4,45.8,Enriched,63.3,100,none,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
