network_type,entity_a,entity_b,co_occurrences,entity_a_degree,entity_b_degree,overlap_type,interpretation,confidence,notes
co_investment,INV0048,INV0170,4,varies,varies,co_investment_pair,Investors Nexus Venture Partners and Kalaari Capital co-invested in 4 funding events (derived from FUNDING.investor_ids split).,MEDIUM,NETWORK_ANALYSIS derived only from FUNDING co-investor strings; previous-company/founder-investor overlap uses FOUNDERS only (prev_companies sparse); no centrality claims made; no arbitrary rankings.
co_investment,INV0004,INV0454,4,varies,varies,co_investment_pair,Investors WestBridge Capital and MMPL Trust co-invested in 4 funding events (derived from FUNDING.investor_ids split).,MEDIUM,NETWORK_ANALYSIS derived only from FUNDING co-investor strings; previous-company/founder-investor overlap uses FOUNDERS only (prev_companies sparse); no centrality claims made; no arbitrary rankings.
co_investment,INV0121,INV0470,4,varies,varies,co_investment_pair,Investors Elevation Capital and India Quotient co-invested in 4 funding events (derived from FUNDING.investor_ids split).,MEDIUM,NETWORK_ANALYSIS derived only from FUNDING co-investor strings; previous-company/founder-investor overlap uses FOUNDERS only (prev_companies sparse); no centrality claims made; no arbitrary rankings.
co_investment,INV0118,INV0121,4,varies,varies,co_investment_pair,Investors Lightspeed Venture Partners and Elevation Capital co-invested in 4 funding events (derived from FUNDING.investor_ids split).,MEDIUM,NETWORK_ANALYSIS derived only from FUNDING co-investor strings; previous-company/founder-investor overlap uses FOUNDERS only (prev_companies sparse); no centrality claims made; no arbitrary rankings.
founder_overlap,P0049,multiple_startups,2,2,2,founder_overlap,Person ID P0049 (Harsh Jain) appears at 2 tracked startups (same individual across companies). Previous-company data sparse; no success inference made.,MEDIUM,NETWORK_ANALYSIS: previous-company details from FOUNDERS (prev_companies ~0%); overlap only; no arbitrary quality ratings.
founder_overlap,P0060,multiple_startups,2,2,2,founder_overlap,Person ID P0060 (Bhavish Aggarwal) appears at 2 tracked startups (same individual across companies). Previous-company data sparse; no success inference made.,MEDIUM,NETWORK_ANALYSIS: previous-company details from FOUNDERS (prev_companies ~0%); overlap only; no arbitrary quality ratings.
founder_overlap,P0122,multiple_startups,2,2,2,founder_overlap,Person ID P0122 (Ankit Nagori) appears at 2 tracked startups (same individual across companies). Previous-company data sparse; no success inference made.,MEDIUM,NETWORK_ANALYSIS: previous-company details from FOUNDERS (prev_companies ~0%); overlap only; no arbitrary quality ratings.
founder_overlap,P0167,multiple_startups,2,2,2,founder_overlap,Person ID P0167 (Sachin Bansal) appears at 2 tracked startups (same individual across companies). Previous-company data sparse; no success inference made.,MEDIUM,NETWORK_ANALYSIS: previous-company details from FOUNDERS (prev_companies ~0%); overlap only; no arbitrary quality ratings.
founder_overlap,P0190,multiple_startups,2,2,2,founder_overlap,Person ID P0190 (Srinath Ramakkrushnan) appears at 2 tracked startups (same individual across companies). Previous-company data sparse; no success inference made.,MEDIUM,NETWORK_ANALYSIS: previous-company details from FOUNDERS (prev_companies ~0%); overlap only; no arbitrary quality ratings.
founder_overlap,P0241,multiple_startups,2,2,2,founder_overlap,Person ID P0241 (Vidit Aatrey) appears at 2 tracked startups (same individual across companies). Previous-company data sparse; no success inference made.,MEDIUM,NETWORK_ANALYSIS: previous-company details from FOUNDERS (prev_companies ~0%); overlap only; no arbitrary quality ratings.
founder_overlap,P0261,multiple_startups,2,2,2,founder_overlap,Person ID P0261 (Bhanu Pratap Singh) appears at 2 tracked startups (same individual across companies). Previous-company data sparse; no success inference made.,MEDIUM,NETWORK_ANALYSIS: previous-company details from FOUNDERS (prev_companies ~0%); overlap only; no arbitrary quality ratings.
founder_overlap,P0262,multiple_startups,2,2,2,founder_overlap,Person ID P0262 (Farid Ahsan) appears at 2 tracked startups (same individual across companies). Previous-company data sparse; no success inference made.,MEDIUM,NETWORK_ANALYSIS: previous-company details from FOUNDERS (prev_companies ~0%); overlap only; no arbitrary quality ratings.
founder_overlap,P0321,multiple_startups,2,2,2,founder_overlap,Person ID P0321 (Anirudh Sharma) appears at 2 tracked startups (same individual across companies). Previous-company data sparse; no success inference made.,MEDIUM,NETWORK_ANALYSIS: previous-company details from FOUNDERS (prev_companies ~0%); overlap only; no arbitrary quality ratings.
founder_overlap,P0411,multiple_startups,2,2,2,founder_overlap,Person ID P0411 (Anshul Gupta) appears at 2 tracked startups (same individual across companies). Previous-company data sparse; no success inference made.,MEDIUM,NETWORK_ANALYSIS: previous-company details from FOUNDERS (prev_companies ~0%); overlap only; no arbitrary quality ratings.
founder_overlap,P0264,multiple_startups,3,3,3,founder_overlap,Person ID P0264 (Nitin Jain) appears at 3 tracked startups (same individual across companies). Previous-company data sparse; no success inference made.,MEDIUM,NETWORK_ANALYSIS: previous-company details from FOUNDERS (prev_companies ~0%); overlap only; no arbitrary quality ratings.
founder_overlap,P0493,multiple_startups,2,2,2,founder_overlap,Person ID P0493 (Hemant Daga) appears at 2 tracked startups (same individual across companies). Previous-company data sparse; no success inference made.,MEDIUM,NETWORK_ANALYSIS: previous-company details from FOUNDERS (prev_companies ~0%); overlap only; no arbitrary quality ratings.
founder_overlap,P0494,multiple_startups,2,2,2,founder_overlap,Person ID P0494 (Varun Bajpai) appears at 2 tracked startups (same individual across companies). Previous-company data sparse; no success inference made.,MEDIUM,NETWORK_ANALYSIS: previous-company details from FOUNDERS (prev_companies ~0%); overlap only; no arbitrary quality ratings.
founder_overlap,P0495,multiple_startups,2,2,2,founder_overlap,Person ID P0495 (Shajikumar Devakar) appears at 2 tracked startups (same individual across companies). Previous-company data sparse; no success inference made.,MEDIUM,NETWORK_ANALYSIS: previous-company details from FOUNDERS (prev_companies ~0%); overlap only; no arbitrary quality ratings.
founder_overlap,P0496,multiple_startups,2,2,2,founder_overlap,Person ID P0496 (Puneet Jain) appears at 2 tracked startups (same individual across companies). Previous-company data sparse; no success inference made.,MEDIUM,NETWORK_ANALYSIS: previous-company details from FOUNDERS (prev_companies ~0%); overlap only; no arbitrary quality ratings.
founder_overlap,P0564,multiple_startups,11,11,11,founder_overlap,"Person ID P0564 (Unknown, {'v': 'UNKNOWN', 'conf': 'low', 'src': 'Failory lists founders as —'}, unknown, UNKNOWN) appears at 11 tracked startups (same individual across companies). Previous-company data sparse; no success inference made.",MEDIUM,NETWORK_ANALYSIS: previous-company details from FOUNDERS (prev_companies ~0%); overlap only; no arbitrary quality ratings.
founder_overlap,P0593,multiple_startups,2,2,2,founder_overlap,Person ID P0593 (Sunil Kumar) appears at 2 tracked startups (same individual across companies). Previous-company data sparse; no success inference made.,MEDIUM,NETWORK_ANALYSIS: previous-company details from FOUNDERS (prev_companies ~0%); overlap only; no arbitrary quality ratings.
founder_overlap,P0657,multiple_startups,2,2,2,founder_overlap,"Person ID P0657 ({'v': 'Yashish Dahiya', 'src': 'Tracxn, Avataar VC'}, Yashish Dahiya) appears at 2 tracked startups (same individual across companies). Previous-company data sparse; no success inference made.",MEDIUM,NETWORK_ANALYSIS: previous-company details from FOUNDERS (prev_companies ~0%); overlap only; no arbitrary quality ratings.
founder_overlap,P0675,multiple_startups,2,2,2,founder_overlap,"Person ID P0675 (Alok Bansal, {'v': 'Alok Bansal', 'src': 'Avataar VC, MCA'}) appears at 2 tracked startups (same individual across companies). Previous-company data sparse; no success inference made.",MEDIUM,NETWORK_ANALYSIS: previous-company details from FOUNDERS (prev_companies ~0%); overlap only; no arbitrary quality ratings.
