category,entity,value,population_size,comparison_basis,status,notes
company_tier,S0035,91.7,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=91.7, sq=100.0"
company_tier,S0036,91.7,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=91.7, sq=86.7"
company_tier,S0037,85.4,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=85.4, sq=100.0"
company_tier,S0038,87.5,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=87.5, sq=100.0"
company_tier,S0039,54.2,368,tier_completeness_score,measured,"Tier=Enriched, completeness=54.2, sq=100.0"
company_tier,S0040,95.8,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=95.8, sq=100.0"
company_tier,S0041,68.8,368,tier_completeness_score,measured,"Tier=Deep, completeness=68.8, sq=100.0"
company_tier,S0042,95.8,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=95.8, sq=100.0"
company_tier,S0043,68.8,368,tier_completeness_score,measured,"Tier=Deep, completeness=68.8, sq=100.0"
company_tier,S0044,93.8,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=93.8, sq=100.0"
company_tier,S0045,81.2,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=81.2, sq=100.0"
company_tier,S0046,64.6,368,tier_completeness_score,measured,"Tier=Deep, completeness=64.6, sq=100.0"
company_tier,S0047,93.8,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=93.8, sq=100.0"
company_tier,S0048,91.7,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=91.7, sq=100.0"
company_tier,S0049,93.8,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=93.8, sq=100.0"
company_tier,S0050,50.0,368,tier_completeness_score,measured,"Tier=Enriched, completeness=50.0, sq=100.0"
company_tier,S0051,95.8,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=95.8, sq=100.0"
company_tier,S0052,93.8,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=93.8, sq=100.0"
company_tier,S0053,95.8,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=95.8, sq=100.0"
company_tier,S0054,70.8,368,tier_completeness_score,measured,"Tier=Deep, completeness=70.8, sq=63.3"
company_tier,S0055,87.5,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=87.5, sq=100.0"
company_tier,S0056,39.6,368,tier_completeness_score,measured,"Tier=Basic, completeness=39.6, sq=50.0"
company_tier,S0057,56.2,368,tier_completeness_score,measured,"Tier=Enriched, completeness=56.2, sq=60.0"
company_tier,S0058,79.2,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=79.2, sq=100.0"
company_tier,S0059,58.3,368,tier_completeness_score,measured,"Tier=Enriched, completeness=58.3, sq=100.0"
company_tier,S0060,58.3,368,tier_completeness_score,measured,"Tier=Enriched, completeness=58.3, sq=93.3"
company_tier,S0061,83.3,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=83.3, sq=100.0"
company_tier,S0062,89.6,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=89.6, sq=100.0"
company_tier,S0063,91.7,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=91.7, sq=100.0"
company_tier,S0064,93.8,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=93.8, sq=100.0"
company_tier,S0065,60.4,368,tier_completeness_score,measured,"Tier=Deep, completeness=60.4, sq=66.7"
company_tier,S0066,85.4,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=85.4, sq=100.0"
company_tier,S0067,89.6,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=89.6, sq=100.0"
company_tier,S0068,97.9,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=97.9, sq=100.0"
company_tier,S0069,37.5,368,tier_completeness_score,measured,"Tier=Basic, completeness=37.5, sq=90.0"
company_tier,S0070,93.8,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=93.8, sq=100.0"
company_tier,S0071,91.7,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=91.7, sq=83.3"
company_tier,S0072,87.5,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=87.5, sq=100.0"
company_tier,S0073,50.0,368,tier_completeness_score,measured,"Tier=Enriched, completeness=50.0, sq=100.0"
company_tier,S0074,52.1,368,tier_completeness_score,measured,"Tier=Enriched, completeness=52.1, sq=100.0"
company_tier,S0075,93.8,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=93.8, sq=100.0"
company_tier,S0076,81.2,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=81.2, sq=100.0"
company_tier,S0077,62.5,368,tier_completeness_score,measured,"Tier=Deep, completeness=62.5, sq=56.7"
company_tier,S0078,91.7,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=91.7, sq=100.0"
company_tier,S0079,54.2,368,tier_completeness_score,measured,"Tier=Enriched, completeness=54.2, sq=53.3"
company_tier,S0080,43.8,368,tier_completeness_score,measured,"Tier=Enriched, completeness=43.8, sq=40.0"
company_tier,S0081,47.9,368,tier_completeness_score,measured,"Tier=Enriched, completeness=47.9, sq=73.3"
company_tier,S0082,35.4,368,tier_completeness_score,measured,"Tier=Basic, completeness=35.4, sq=50.0"
company_tier,S0083,56.2,368,tier_completeness_score,measured,"Tier=Enriched, completeness=56.2, sq=76.7"
company_tier,S0084,62.5,368,tier_completeness_score,measured,"Tier=Deep, completeness=62.5, sq=100.0"
company_tier,S0085,97.9,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=97.9, sq=100.0"
company_tier,S0086,68.8,368,tier_completeness_score,measured,"Tier=Deep, completeness=68.8, sq=100.0"
company_tier,S0087,83.3,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=83.3, sq=100.0"
company_tier,S0088,37.5,368,tier_completeness_score,measured,"Tier=Basic, completeness=37.5, sq=53.3"
company_tier,S0089,43.8,368,tier_completeness_score,measured,"Tier=Enriched, completeness=43.8, sq=40.0"
company_tier,S0090,100.0,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=100.0, sq=100.0"
company_tier,S0091,39.6,368,tier_completeness_score,measured,"Tier=Basic, completeness=39.6, sq=53.3"
company_tier,S0092,97.9,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=97.9, sq=100.0"
company_tier,S0093,87.5,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=87.5, sq=100.0"
company_tier,S0094,87.5,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=87.5, sq=100.0"
company_tier,S0095,91.7,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=91.7, sq=100.0"
company_tier,S0096,89.6,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=89.6, sq=100.0"
company_tier,S0097,50.0,368,tier_completeness_score,measured,"Tier=Enriched, completeness=50.0, sq=100.0"
company_tier,S0098,95.8,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=95.8, sq=100.0"
company_tier,S0099,45.8,368,tier_completeness_score,measured,"Tier=Enriched, completeness=45.8, sq=66.7"
company_tier,S0100,93.8,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=93.8, sq=70.0"
company_tier,S0101,50.0,368,tier_completeness_score,measured,"Tier=Enriched, completeness=50.0, sq=70.0"
company_tier,S0102,41.7,368,tier_completeness_score,measured,"Tier=Enriched, completeness=41.7, sq=70.0"
company_tier,S0103,56.2,368,tier_completeness_score,measured,"Tier=Enriched, completeness=56.2, sq=56.7"
company_tier,S0104,89.6,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=89.6, sq=100.0"
company_tier,S0105,56.2,368,tier_completeness_score,measured,"Tier=Enriched, completeness=56.2, sq=100.0"
company_tier,S0106,87.5,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=87.5, sq=100.0"
company_tier,S0107,56.2,368,tier_completeness_score,measured,"Tier=Enriched, completeness=56.2, sq=86.7"
company_tier,S0108,81.2,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=81.2, sq=100.0"
company_tier,S0109,89.6,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=89.6, sq=100.0"
company_tier,S0110,87.5,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=87.5, sq=100.0"
company_tier,S0111,37.5,368,tier_completeness_score,measured,"Tier=Basic, completeness=37.5, sq=73.3"
company_tier,S0112,75.0,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=75.0, sq=100.0"
company_tier,S0113,39.6,368,tier_completeness_score,measured,"Tier=Basic, completeness=39.6, sq=40.0"
company_tier,S0114,56.2,368,tier_completeness_score,measured,"Tier=Enriched, completeness=56.2, sq=50.0"
company_tier,S0115,47.9,368,tier_completeness_score,measured,"Tier=Enriched, completeness=47.9, sq=46.7"
company_tier,S0116,60.4,368,tier_completeness_score,measured,"Tier=Deep, completeness=60.4, sq=66.7"
company_tier,S0117,62.5,368,tier_completeness_score,measured,"Tier=Deep, completeness=62.5, sq=50.0"
company_tier,S0118,95.8,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=95.8, sq=100.0"
company_tier,S0119,95.8,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=95.8, sq=100.0"
company_tier,S0120,91.7,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=91.7, sq=100.0"
company_tier,S0121,45.8,368,tier_completeness_score,measured,"Tier=Enriched, completeness=45.8, sq=100.0"
company_tier,S0122,50.0,368,tier_completeness_score,measured,"Tier=Enriched, completeness=50.0, sq=100.0"
company_tier,S0123,87.5,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=87.5, sq=100.0"
company_tier,S0124,37.5,368,tier_completeness_score,measured,"Tier=Basic, completeness=37.5, sq=73.3"
company_tier,S0125,77.1,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=77.1, sq=96.7"
company_tier,S0126,87.5,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=87.5, sq=100.0"
company_tier,S0127,39.6,368,tier_completeness_score,measured,"Tier=Basic, completeness=39.6, sq=66.7"
company_tier,S0128,89.6,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=89.6, sq=100.0"
company_tier,S0129,37.5,368,tier_completeness_score,measured,"Tier=Basic, completeness=37.5, sq=86.7"
company_tier,S0130,89.6,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=89.6, sq=100.0"
company_tier,S0131,45.8,368,tier_completeness_score,measured,"Tier=Enriched, completeness=45.8, sq=63.3"
company_tier,S0132,22.9,368,tier_completeness_score,measured,"Tier=Basic, completeness=22.9, sq=86.7"
company_tier,S0133,25.0,368,tier_completeness_score,measured,"Tier=Basic, completeness=25.0, sq=50.0"
company_tier,S0134,91.7,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=91.7, sq=100.0"
company_tier,S0135,93.8,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=93.8, sq=100.0"
company_tier,S0136,37.5,368,tier_completeness_score,measured,"Tier=Basic, completeness=37.5, sq=53.3"
company_tier,S0137,45.8,368,tier_completeness_score,measured,"Tier=Enriched, completeness=45.8, sq=86.7"
company_tier,S0138,93.8,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=93.8, sq=100.0"
company_tier,S0139,50.0,368,tier_completeness_score,measured,"Tier=Enriched, completeness=50.0, sq=63.3"
company_tier,S0140,50.0,368,tier_completeness_score,measured,"Tier=Enriched, completeness=50.0, sq=83.3"
company_tier,S0141,41.7,368,tier_completeness_score,measured,"Tier=Enriched, completeness=41.7, sq=33.3"
company_tier,S0142,50.0,368,tier_completeness_score,measured,"Tier=Enriched, completeness=50.0, sq=83.3"
company_tier,S0143,50.0,368,tier_completeness_score,measured,"Tier=Enriched, completeness=50.0, sq=100.0"
company_tier,S0144,87.5,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=87.5, sq=100.0"
company_tier,S0145,89.6,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=89.6, sq=100.0"
company_tier,S0146,70.8,368,tier_completeness_score,measured,"Tier=Deep, completeness=70.8, sq=100.0"
company_tier,S0147,43.8,368,tier_completeness_score,measured,"Tier=Enriched, completeness=43.8, sq=23.3"
company_tier,S0148,87.5,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=87.5, sq=100.0"
company_tier,S0149,50.0,368,tier_completeness_score,measured,"Tier=Enriched, completeness=50.0, sq=100.0"
company_tier,S0150,47.9,368,tier_completeness_score,measured,"Tier=Enriched, completeness=47.9, sq=100.0"
company_tier,S0151,45.8,368,tier_completeness_score,measured,"Tier=Enriched, completeness=45.8, sq=70.0"
company_tier,S0152,47.9,368,tier_completeness_score,measured,"Tier=Enriched, completeness=47.9, sq=100.0"
company_tier,S0153,95.8,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=95.8, sq=100.0"
company_tier,S0154,95.8,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=95.8, sq=100.0"
company_tier,S0155,52.1,368,tier_completeness_score,measured,"Tier=Enriched, completeness=52.1, sq=100.0"
company_tier,S0156,89.6,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=89.6, sq=100.0"
company_tier,S0157,91.7,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=91.7, sq=100.0"
company_tier,S0158,93.8,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=93.8, sq=100.0"
company_tier,S0159,91.7,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=91.7, sq=100.0"
company_tier,S0160,8.3,368,tier_completeness_score,measured,"Tier=Candidate, completeness=8.3, sq=16.7"
company_tier,S0161,72.9,368,tier_completeness_score,measured,"Tier=Deep, completeness=72.9, sq=96.7"
company_tier,S0162,81.2,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=81.2, sq=100.0"
company_tier,S0163,85.4,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=85.4, sq=40.0"
company_tier,S0164,83.3,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=83.3, sq=100.0"
company_tier,S0165,83.3,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=83.3, sq=100.0"
company_tier,S0166,27.1,368,tier_completeness_score,measured,"Tier=Basic, completeness=27.1, sq=60.0"
company_tier,S0167,79.2,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=79.2, sq=100.0"
company_tier,S0168,35.4,368,tier_completeness_score,measured,"Tier=Basic, completeness=35.4, sq=66.7"
company_tier,S0169,45.8,368,tier_completeness_score,measured,"Tier=Enriched, completeness=45.8, sq=30.0"
company_tier,S0170,47.9,368,tier_completeness_score,measured,"Tier=Enriched, completeness=47.9, sq=50.0"
company_tier,S0171,47.9,368,tier_completeness_score,measured,"Tier=Enriched, completeness=47.9, sq=63.3"
company_tier,S0172,50.0,368,tier_completeness_score,measured,"Tier=Enriched, completeness=50.0, sq=70.0"
company_tier,S0173,62.5,368,tier_completeness_score,measured,"Tier=Deep, completeness=62.5, sq=60.0"
company_tier,S0174,50.0,368,tier_completeness_score,measured,"Tier=Enriched, completeness=50.0, sq=73.3"
company_tier,S0175,52.1,368,tier_completeness_score,measured,"Tier=Enriched, completeness=52.1, sq=60.0"
company_tier,S0176,50.0,368,tier_completeness_score,measured,"Tier=Enriched, completeness=50.0, sq=50.0"
company_tier,S0177,50.0,368,tier_completeness_score,measured,"Tier=Enriched, completeness=50.0, sq=100.0"
company_tier,S0178,52.1,368,tier_completeness_score,measured,"Tier=Enriched, completeness=52.1, sq=100.0"
company_tier,S0179,47.9,368,tier_completeness_score,measured,"Tier=Enriched, completeness=47.9, sq=40.0"
company_tier,S0180,41.7,368,tier_completeness_score,measured,"Tier=Enriched, completeness=41.7, sq=86.7"
company_tier,S0181,54.2,368,tier_completeness_score,measured,"Tier=Enriched, completeness=54.2, sq=70.0"
company_tier,S0182,60.4,368,tier_completeness_score,measured,"Tier=Deep, completeness=60.4, sq=93.3"
company_tier,S0183,60.4,368,tier_completeness_score,measured,"Tier=Deep, completeness=60.4, sq=100.0"
company_tier,S0184,31.2,368,tier_completeness_score,measured,"Tier=Basic, completeness=31.2, sq=63.3"
company_tier,S0185,89.6,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=89.6, sq=100.0"
company_tier,S0186,27.1,368,tier_completeness_score,measured,"Tier=Basic, completeness=27.1, sq=40.0"
company_tier,S0187,29.2,368,tier_completeness_score,measured,"Tier=Basic, completeness=29.2, sq=40.0"
company_tier,S0188,31.2,368,tier_completeness_score,measured,"Tier=Basic, completeness=31.2, sq=60.0"
company_tier,S0189,41.7,368,tier_completeness_score,measured,"Tier=Enriched, completeness=41.7, sq=63.3"
company_tier,S0190,8.3,368,tier_completeness_score,measured,"Tier=Candidate, completeness=8.3, sq=20.0"
company_tier,S0191,43.8,368,tier_completeness_score,measured,"Tier=Enriched, completeness=43.8, sq=73.3"
company_tier,S0192,52.1,368,tier_completeness_score,measured,"Tier=Enriched, completeness=52.1, sq=40.0"
company_tier,S0193,41.7,368,tier_completeness_score,measured,"Tier=Enriched, completeness=41.7, sq=86.7"
company_tier,S0194,47.9,368,tier_completeness_score,measured,"Tier=Enriched, completeness=47.9, sq=73.3"
company_tier,S0195,43.8,368,tier_completeness_score,measured,"Tier=Enriched, completeness=43.8, sq=66.7"
company_tier,S0196,50.0,368,tier_completeness_score,measured,"Tier=Enriched, completeness=50.0, sq=53.3"
company_tier,S0197,100.0,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=100.0, sq=100.0"
company_tier,S0198,39.6,368,tier_completeness_score,measured,"Tier=Basic, completeness=39.6, sq=40.0"
company_tier,S0199,33.3,368,tier_completeness_score,measured,"Tier=Basic, completeness=33.3, sq=20.0"
company_tier,S0200,47.9,368,tier_completeness_score,measured,"Tier=Enriched, completeness=47.9, sq=50.0"
company_tier,S0201,50.0,368,tier_completeness_score,measured,"Tier=Enriched, completeness=50.0, sq=50.0"
company_tier,S0202,54.2,368,tier_completeness_score,measured,"Tier=Enriched, completeness=54.2, sq=50.0"
company_tier,S0203,41.7,368,tier_completeness_score,measured,"Tier=Enriched, completeness=41.7, sq=50.0"
company_tier,S0204,6.2,368,tier_completeness_score,measured,"Tier=Candidate, completeness=6.2, sq=6.7"
company_tier,S0205,6.2,368,tier_completeness_score,measured,"Tier=Candidate, completeness=6.2, sq=10.0"
company_tier,S0206,6.2,368,tier_completeness_score,measured,"Tier=Candidate, completeness=6.2, sq=20.0"
company_tier,S0207,43.8,368,tier_completeness_score,measured,"Tier=Enriched, completeness=43.8, sq=80.0"
company_tier,S0208,47.9,368,tier_completeness_score,measured,"Tier=Enriched, completeness=47.9, sq=100.0"
company_tier,S0209,95.8,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=95.8, sq=100.0"
company_tier,S0210,43.8,368,tier_completeness_score,measured,"Tier=Enriched, completeness=43.8, sq=26.7"
company_tier,S0211,91.7,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=91.7, sq=100.0"
company_tier,S0212,37.5,368,tier_completeness_score,measured,"Tier=Basic, completeness=37.5, sq=23.3"
company_tier,S0213,89.6,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=89.6, sq=100.0"
company_tier,S0214,31.2,368,tier_completeness_score,measured,"Tier=Basic, completeness=31.2, sq=73.3"
company_tier,S0215,87.5,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=87.5, sq=43.3"
company_tier,S0216,25.0,368,tier_completeness_score,measured,"Tier=Basic, completeness=25.0, sq=83.3"
company_tier,S0217,35.4,368,tier_completeness_score,measured,"Tier=Basic, completeness=35.4, sq=73.3"
company_tier,S0218,22.9,368,tier_completeness_score,measured,"Tier=Basic, completeness=22.9, sq=66.7"
company_tier,S0219,37.5,368,tier_completeness_score,measured,"Tier=Basic, completeness=37.5, sq=73.3"
company_tier,S0220,35.4,368,tier_completeness_score,measured,"Tier=Basic, completeness=35.4, sq=100.0"
company_tier,S0221,39.6,368,tier_completeness_score,measured,"Tier=Basic, completeness=39.6, sq=100.0"
company_tier,S0222,41.7,368,tier_completeness_score,measured,"Tier=Enriched, completeness=41.7, sq=100.0"
company_tier,S0223,35.4,368,tier_completeness_score,measured,"Tier=Basic, completeness=35.4, sq=93.3"
company_tier,S0224,20.8,368,tier_completeness_score,measured,"Tier=Basic, completeness=20.8, sq=3.3"
company_tier,S0225,20.8,368,tier_completeness_score,measured,"Tier=Basic, completeness=20.8, sq=10.0"
company_tier,S0226,87.5,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=87.5, sq=100.0"
company_tier,S0227,16.7,368,tier_completeness_score,measured,"Tier=Candidate, completeness=16.7, sq=36.7"
company_tier,S0228,89.6,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=89.6, sq=100.0"
company_tier,S0229,37.5,368,tier_completeness_score,measured,"Tier=Basic, completeness=37.5, sq=100.0"
company_tier,S0230,37.5,368,tier_completeness_score,measured,"Tier=Basic, completeness=37.5, sq=100.0"
company_tier,S0231,39.6,368,tier_completeness_score,measured,"Tier=Basic, completeness=39.6, sq=100.0"
company_tier,S0232,37.5,368,tier_completeness_score,measured,"Tier=Basic, completeness=37.5, sq=80.0"
company_tier,S0233,37.5,368,tier_completeness_score,measured,"Tier=Basic, completeness=37.5, sq=66.7"
company_tier,S0234,35.4,368,tier_completeness_score,measured,"Tier=Basic, completeness=35.4, sq=63.3"
company_tier,S0235,35.4,368,tier_completeness_score,measured,"Tier=Basic, completeness=35.4, sq=76.7"
company_tier,S0236,35.4,368,tier_completeness_score,measured,"Tier=Basic, completeness=35.4, sq=50.0"
company_tier,S0237,47.9,368,tier_completeness_score,measured,"Tier=Enriched, completeness=47.9, sq=40.0"
company_tier,S0238,97.9,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=97.9, sq=100.0"
company_tier,S0239,41.7,368,tier_completeness_score,measured,"Tier=Enriched, completeness=41.7, sq=43.3"
company_tier,S0240,37.5,368,tier_completeness_score,measured,"Tier=Basic, completeness=37.5, sq=63.3"
company_tier,S0241,89.6,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=89.6, sq=100.0"
company_tier,S0242,41.7,368,tier_completeness_score,measured,"Tier=Enriched, completeness=41.7, sq=63.3"
company_tier,S0243,39.6,368,tier_completeness_score,measured,"Tier=Basic, completeness=39.6, sq=20.0"
company_tier,S0244,12.5,368,tier_completeness_score,measured,"Tier=Candidate, completeness=12.5, sq=20.0"
company_tier,S0245,6.2,368,tier_completeness_score,measured,"Tier=Candidate, completeness=6.2, sq=10.0"
company_tier,S0246,70.8,368,tier_completeness_score,measured,"Tier=Deep, completeness=70.8, sq=100.0"
company_tier,S0247,12.5,368,tier_completeness_score,measured,"Tier=Candidate, completeness=12.5, sq=26.7"
company_tier,S0248,81.2,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=81.2, sq=100.0"
company_tier,S0249,6.2,368,tier_completeness_score,measured,"Tier=Candidate, completeness=6.2, sq=20.0"
company_tier,S0250,6.2,368,tier_completeness_score,measured,"Tier=Candidate, completeness=6.2, sq=16.7"
company_tier,S0251,12.5,368,tier_completeness_score,measured,"Tier=Candidate, completeness=12.5, sq=16.7"
company_tier,S0252,16.7,368,tier_completeness_score,measured,"Tier=Candidate, completeness=16.7, sq=20.0"
company_tier,S0253,6.2,368,tier_completeness_score,measured,"Tier=Candidate, completeness=6.2, sq=16.7"
company_tier,S0254,8.3,368,tier_completeness_score,measured,"Tier=Candidate, completeness=8.3, sq=16.7"
company_tier,S0255,89.6,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=89.6, sq=100.0"
company_tier,S0256,85.4,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=85.4, sq=100.0"
company_tier,S0257,12.5,368,tier_completeness_score,measured,"Tier=Candidate, completeness=12.5, sq=20.0"
company_tier,S0258,87.5,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=87.5, sq=100.0"
company_tier,S0259,18.8,368,tier_completeness_score,measured,"Tier=Candidate, completeness=18.8, sq=16.7"
