company_name,canonical_key,all_names,city,state,sector_guess,stage_guess,funding_musd_hint,valuation_musd_hint,founders_hint,status_hint,why_notable,freq,discovery_urls,sources_files,priority_score,startup_id
Groww,groww,Groww,Bengaluru,Karnataka,fintech wealthtech | fintech/investment,IPO,593.0,16000.0,Lalit Keshre et al,IPO 2025 | active,Top-valued; IPO 2025,2,https://dealroom.co/unicorns/india/;https://tracxn.com/d/explore/fintech-startups-in-india/__7DUvpjRYg2icfFp-L5Leb_WDJgbf2y7jQQQQAhbZAjw,d1_hubs_unicorns.json;d2_sectors.json,80.0,S0011
Gupshup,gupshup,Gupshup,Bengaluru,Karnataka,ai / conversational saas | saas/messaging,Unicorn,150.0,1400.0,,"LAYOFF Apr+Sep 2025 — ~500 then 100 (AI automation, efficiency); unicorn | Private",Messaging SaaS unicorn,2,https://bhavyasharmaandassociates.com/reports/top-100-startups-2026.html;https://inc42.com/buzz/a-year-of-pink-slips-9500-layoffs-among-indian-startups-in-2025/,d1_hubs_unicorns.json;d3_events_recency.json,80.0,S0012
Krutrim,krutrim,Krutrim,Bengaluru,Karnataka,ai | ai/cloud,Unicorn,50.0,1000.0,Bhavish Aggarwal,LAYOFF Jul+Sep 2025 — 100+ then 50 (linguistics team); strategic realignment | Private,"India's first AI unicorn; Kruti agent, Krutrim Cloud",2,https://inc42.com/features/indian-startup-layoff-tracker-2025/;https://www.forbesindia.com/article/take-one-big-story-of-the-day/inside-olas-notsoelectric-ride-with-krutrim-ai/95666/1,d1_hubs_unicorns.json;d3_events_recency.json,80.0,S0013
Sarvam AI,sarvam ai,Sarvam AI;Sarvam AI (Sarvam),Bengaluru,Karnataka,ai / llms | ai/llm sovereign models,Unicorn,234.0,1500.0,"Vivek Raghavan, Pratyush Kumar","ACTIVE UNICORN — $234M Series B first close Jun 15 2026 at $1.5B; HCLTech $150M lead; Khosla, Peak XV | Private",2026 unicorn; Indian-language AI models,3,https://techcrunch.com/2026/06/15/sarvam-becomes-indias-newest-ai-unicorn-with-234-million-funding-round-led-by-hcltech/;https://www.ceovine.com/indian-unicorns-2026-every-startup-that-entered-the-billion-dollar-club-this-year;https://indianstartupnews.com/funding/indian-startups-raised-over-469-million-from-june-15-to-june-20-2026-ai-startup-sarvam-tops-the-list-12060271,d1_hubs_unicorns.json;d3_events_recency.json,80.0,S0014
Slice,slice,Slice,Bengaluru,Karnataka,fintech / digital banking | fintech/credit card,Unicorn,180.0,1300.0,,ACTIVE — $100M Series D Sep 2026 at $450M valuation led Neo Wealth; merged with North East Small Finance Bank | Private,Gen-Z card unicorn,2,https://bhavyasharmaandassociates.com/reports/top-100-startups-2026.html;https://entrackr.com/report/weekly-funding-report-weekly-funding-report/funding-and-acquisitions-in-indian-startups-this-week-aug-31-sep-05-12495074,d1_hubs_unicorns.json;d3_events_recency.json,80.0,S0015
upGrad,upgrad,upGrad,Mumbai,Maharashtra,edtech | edtech skilling,Unicorn,450.0,2250.0,,"ACTIVE — completed all-stock acquisition of Unacademy Sep 1 2026; FY25 revenue Rs 1569cr (+5.5%), loss cut 51% to Rs 274cr | Private | active",Higher-ed unicorn,3,https://bhavyasharmaandassociates.com/reports/top-100-startups-2026.html;https://techcrunch.com/2026/09/01/indias-unacademy-sells-to-rival-upgrad-for-206m-about-94-less-than-its-peak-valuation/;https://www.livemint.com/industry/edtech-funding-revival-byjus-fall-investor-confidence/amp-11781695145510.html,d1_hubs_unicorns.json;d2_sectors.json;d3_events_recency.json,80.0,S0016
BrowserStack,browserstack,BrowserStack,Mumbai,Maharashtra,saas/dev testing,Unicorn,253.0,3400.0,,Private,Capital-efficient SaaS unicorn,1,https://blog.huntyourtribe.com/product-based-companies-in-mumbai-you-should-know-about-in-2026/,d1_hubs_unicorns.json,79.0,S0017
Dhan,dhan,Dhan,Mumbai,Maharashtra,fintech/broking,Soonicorn,270.0,1200.0,,Private,Near-unicorn; watched for 2026,1,https://bhavyasharmaandassociates.com/reports/top-100-startups-2026.html,d1_hubs_unicorns.json,79.0,S0018
PharmEasy,pharmeasy,PharmEasy,Mumbai,Maharashtra,healthtech/pharmacy,Unicorn,193.0,1500.0,,Private,2025 healthtech mega-deal,1,https://entrackr.com/report/annual-funding-report/indian-startup-funding-drops-10-to-13-bn-in-2025-but-ipo-count-hits-record-18-10958045,d1_hubs_unicorns.json,79.0,S0019
Snapmint,snapmint,Snapmint,Mumbai,Maharashtra,fintech/bnpl,Unicorn,385.0,1100.0,,Private,BNPL unicorn,1,https://bhavyasharmaandassociates.com/reports/top-100-startups-2026.html,d1_hubs_unicorns.json,79.0,S0020
Upstox,upstox,Upstox,Mumbai,Maharashtra,fintech/broking,Unicorn,380.0,3500.0,,Private,Broking unicorn,1,https://bhavyasharmaandassociates.com/reports/top-100-startups-2026.html,d1_hubs_unicorns.json,79.0,S0021
Udaan,udaan,Udaan,Bengaluru,Karnataka,b2b commerce | b2b ecommerce,Series H,2270.0,1800.0,"Vaibhav Gupta, Amod Malviya, Sujeet Kumar",ACTIVE — $7.9M raise Sep 2026 + agreed to acquire Swiggy's Lynk Logistics for Rs 500cr | Private | active,eB2B leader; IPO-track,3,https://bhavyasharmaandassociates.com/reports/top-100-startups-2026.html;https://entrackr.com/report/weekly-funding-report-weekly-funding-report/funding-and-acquisitions-in-indian-startups-this-week-sep-07-sep-12-12523070;https://platform.tracxn.com/a/d/company/574d74a4e4b0966a2dd8f2a3/udaan?utm_source=parallel&utm_medium=ai#a:about,d1_hubs_unicorns.json;d2_sectors.json;d3_events_recency.json,78.0,S0022
ACKO,acko,ACKO,Mumbai,Maharashtra,insurtech,Unicorn,340.0,1500.0,,Private | active,Digital insurer unicorn,2,https://bhavyasharmaandassociates.com/reports/top-100-startups-2026.html;https://tracxn.com/d/explore/fintech-startups-in-india/__7DUvpjRYg2icfFp-L5Leb_WDJgbf2y7jQQQQAhbZAjw,d1_hubs_unicorns.json;d2_sectors.json,77.0,S0023
CoinSwitch Kuber,coinswitch kuber,CoinSwitch Kuber,Bengaluru,Karnataka,crypto/fintech,Unicorn,190.0,1900.0,,Private,Crypto unicorn,1,https://bhavyasharmaandassociates.com/reports/top-100-startups-2026.html,d1_hubs_unicorns.json,77.0,S0024
Cult.fit (CureFit),cult fit curefit,Cult.fit (CureFit),Bengaluru,Karnataka,fitness/healthtech,Unicorn,200.0,1500.0,,Private,Fitness unicorn,1,https://bhavyasharmaandassociates.com/reports/top-100-startups-2026.html,d1_hubs_unicorns.json,77.0,S0025
Fireflies AI,fireflies ai,Fireflies AI,Bengaluru,Karnataka,ai/meeting transcription,Unicorn,100.0,1000.0,,Private,2025 AI unicorn,1,https://bhavyasharmaandassociates.com/reports/top-100-startups-2026.html,d1_hubs_unicorns.json,77.0,S0026
Hasura,hasura,Hasura,Bengaluru,Karnataka,saas/api platform,Unicorn,120.0,1000.0,,Private,GraphQL SaaS unicorn,1,https://bhavyasharmaandassociates.com/reports/top-100-startups-2026.html,d1_hubs_unicorns.json,77.0,S0027
Icertis,icertis,Icertis,Bengaluru,Karnataka,saas/contract management,Unicorn,520.0,5000.0,,Private,Contract-AI SaaS unicorn,1,https://bhavyasharmaandassociates.com/reports/top-100-startups-2026.html,d1_hubs_unicorns.json,77.0,S0028
LeadSquared,leadsquared,LeadSquared,Bengaluru,Karnataka,saas/crm,Unicorn,180.0,1500.0,,Private,Sales-CRM unicorn,1,https://bhavyasharmaandassociates.com/reports/top-100-startups-2026.html,d1_hubs_unicorns.json,77.0,S0029
MoEngage,moengage,MoEngage,Bengaluru,Karnataka,saas/customer engagement ai,Late/unicorn,180.0,1200.0,,Private,2025 SaaS mega-deal,1,https://entrackr.com/report/annual-funding-report/indian-startup-funding-drops-10-to-13-bn-in-2025-but-ipo-count-hits-record-18-10958045,d1_hubs_unicorns.json,77.0,S0030
Moneyview,moneyview,Moneyview,Bengaluru,Karnataka,fintech/lending,Unicorn,165.0,1200.0,,Private,2025 lending unicorn,1,https://bhavyasharmaandassociates.com/reports/top-100-startups-2026.html,d1_hubs_unicorns.json,77.0,S0031
Mu Sigma,mu sigma,Mu Sigma,Bengaluru,Karnataka,analytics ai,Unicorn,220.0,1500.0,Dhiraj Rajaram,Private,Analytics pioneer unicorn,1,https://bhavyasharmaandassociates.com/reports/top-100-startups-2026.html,d1_hubs_unicorns.json,77.0,S0032
Netradyne,netradyne,Netradyne,Bengaluru,Karnataka,computer vision ai/fleet safety,Unicorn,220.0,1340.0,,Private,2025 AI unicorn,1,https://bhavyasharmaandassociates.com/reports/top-100-startups-2026.html,d1_hubs_unicorns.json,77.0,S0033
Postman,postman,Postman,Bengaluru,Karnataka,saas/api dev,Unicorn,300.0,2000.0,,Private,API SaaS unicorn,1,https://bhavyasharmaandassociates.com/reports/top-100-startups-2026.html,d1_hubs_unicorns.json,77.0,S0034
Zeta,zeta,Zeta,Bengaluru,Karnataka,fintech/card infra,Unicorn,150.0,1450.0,,Private,Banking-stack unicorn,1,https://bhavyasharmaandassociates.com/reports/top-100-startups-2026.html,d1_hubs_unicorns.json,77.0,S0035
Flipkart,flipkart,Flipkart,Bengaluru,Karnataka,ecommerce,Late private,5000.0,36000.0,,PRE-IPO — shut ANS Commerce Feb 2025 (110 absorbed); 500 layoffs Mar 2026; NCLT domicile-shift approval; DRHP pending | Private,India's most valuable private co,2,https://dealroom.co/unicorns/india/;https://inc42.com/features/indian-startup-layoff-tracker-2025/,d1_hubs_unicorns.json;d3_events_recency.json,75.0,S0036
Porter,porter,Porter,Bengaluru,Karnataka,logistics,Unicorn,200.0,1200.0,,LAYOFF Nov 2025 — 350 (18%) after merging truck + 2W verticals; unicorn since May 2024; $200M Series F May 2025 | Private,2025 logistics mega-deal,2,https://entrackr.com/report/annual-funding-report/indian-startup-funding-drops-10-to-13-bn-in-2025-but-ipo-count-hits-record-18-10958045;https://inc42.com/buzz/a-year-of-pink-slips-9500-layoffs-among-indian-startups-in-2025/,d1_hubs_unicorns.json;d3_events_recency.json,75.0,S0037
Unacademy,unacademy,Unacademy,Bengaluru,Karnataka,edtech,Unicorn,380.0,3440.0,"Gaurav Munjal, Roman Saini, Hemesh Singh","ACQUIRED — all-stock acquisition by upGrad closed Sep 1 2026 at ~$206M, 94% below $3.44B 2021 peak; CCI cleared July; brands retained | Private",Surviving edtech unicorn,2,https://techcrunch.com/2026/09/01/indias-unacademy-sells-to-rival-upgrad-for-206m-about-94-less-than-its-peak-valuation/;https://www.businessoutreach.in/most-valuable-startups-in-india/,d1_hubs_unicorns.json;d3_events_recency.json,75.0,S0038
Vedantu,vedantu,Vedantu,Bengaluru,Karnataka,edtech | edtech live classes,Unicorn,200.0,1000.0,,Private | active,K-12 edtech unicorn,2,https://bhavyasharmaandassociates.com/reports/top-100-startups-2026.html;https://tracxn.com/d/explore/k-12-edtech-startups-in-india/__O_iZ1Gg-3BLMMpJWwFuUCQt6IqZuoIuTXbodzLf-L-I,d1_hubs_unicorns.json;d2_sectors.json,75.0,S0039
Zetwerk,zetwerk,Zetwerk,Bengaluru,Karnataka,b2b manufacturing,raising,3100.0,5000.0,"Amrit Acharya, Srinath Ramakkrushnan et al (known)",PRE-IPO — 6 bankers appointed; 2026 listing (pulled forward from 2027) | active,Manufacturing unicorn follow-on,2,https://startupfeed.in/indian-startup-ipo-tracker-2026-drhp-sebi-pipeline/;https://www.moneycontrol.com/news/business/startup/b2b-e-commerce-firm-udaan-raises-75-million-in-funding-from-m-g-lightspeed-12942694.html,d2_sectors.json;d3_events_recency.json,75.0,S0040
Dream11 (Dream Sports),dream11 dream sports,Dream Sports (Dream11);Dream11 (Dream Sports),Mumbai,Maharashtra,gaming/fantasy sports,Unicorn,1600.0,8000.0,"Harsh Jain, Bhavit Sheth",Private,Top gaming unicorn,2,https://www.businessoutreach.in/most-valuable-startups-in-india/;https://tracxn.com/d/explore/gaming-startups-in-india/__l0hd49FrHYYyE-hgF3d8DYfyM7vWKY8fAEFHgB103lo,d1_hubs_unicorns.json,74.0,S0041
InMobi,inmobi,InMobi,Mumbai,Maharashtra,adtech,Unicorn,350.0,5000.0,Naveen Tewari et al,Private,#2 mega-deal 2025,1,https://inc42.com/buzz/2025-indian-startup-trends-zeptos-d-street-dash-more/,d1_hubs_unicorns.json,74.0,S0042
Nykaa,nykaa,Nykaa,Mumbai,Maharashtra,d2c beauty,Public,320.0,9200.0,Falguni Nayar,IPO 2021,D2C beauty leader,1,https://dealroom.co/unicorns/india/,d1_hubs_unicorns.json,74.0,S0043
Rebel Foods,rebel foods,Rebel Foods,Mumbai,Maharashtra,foodtech/cloud kitchen,Unicorn,135.0,1400.0,,Private,Cloud-kitchen unicorn,1,https://bhavyasharmaandassociates.com/reports/top-100-startups-2026.html,d1_hubs_unicorns.json,74.0,S0044
Drools,drools,Drools,Bengaluru,Karnataka,d2c pet food,Unicorn,80.0,1000.0,,Private,2025 D2C unicorn,1,https://bhavyasharmaandassociates.com/reports/top-100-startups-2026.html,d1_hubs_unicorns.json,72.0,S0045
Fractal Analytics,fractal analytics,Fractal Analytics,Mumbai,Maharashtra,ai / saas analytics | enterprise ai/analytics,Unicorn/pre-IPO,685.0,1.6,"Srikanth Velamakanni, Pranay Agrawal",PRE-IPO — SEBI approval received; among first AI-centric listings | Private,Enterprise AI; pre-IPO,2,https://startupfeed.in/indian-startup-ipo-tracker-2026-drhp-sebi-pipeline/;https://www.businessoutreach.in/most-valuable-startups-in-india/,d1_hubs_unicorns.json;d3_events_recency.json,72.0,S0046
Jumbotail,jumbotail,Jumbotail,Bengaluru,Karnataka,b2b ecommerce,Unicorn,180.0,1000.0,,Private,2025 B2B unicorn,1,https://bhavyasharmaandassociates.com/reports/top-100-startups-2026.html,d1_hubs_unicorns.json,72.0,S0047
Livspace,livspace,Livspace,Bengaluru,Karnataka,home interiors marketplace,Unicorn,245.0,1200.0,,Private,Interiors unicorn,1,https://bhavyasharmaandassociates.com/reports/top-100-startups-2026.html,d1_hubs_unicorns.json,72.0,S0048
Meesho,meesho,Meesho,Bengaluru,Karnataka,ecommerce/social commerce,IPO,850.0,11000.0,,IPO 2025,IPO 2025,1,https://dealroom.co/unicorns/india/,d1_hubs_unicorns.json,72.0,S0049
Ola (ANI Technologies),ola ani technologies,Ola (ANI Technologies),Bengaluru,Karnataka,mobility,Unicorn,1500.0,5000.0,"Bhavish Aggarwal, Ankit Bhati",Private,Mobility decacorn-adjacent unicorn,1,https://bhavyasharmaandassociates.com/reports/top-100-startups-2026.html,d1_hubs_unicorns.json,72.0,S0050
Rapido,rapido,Rapido,Bengaluru,Karnataka,mobility,Late private,240.0,3000.0,"Aravind Sanka, Pavan Guntupalli",Private,Tripled valuation; Ownly food delivery launch,1,https://officechai.com/startups/rapido-triples-valuation-to-3-billion-in-new-fraise/,d1_hubs_unicorns.json,72.0,S0051
ShareChat,sharechat,ShareChat,Bengaluru,Karnataka,social media,Unicorn,240.0,2000.0,,Private,Vernacular social unicorn,1,https://bhavyasharmaandassociates.com/reports/top-100-startups-2026.html,d1_hubs_unicorns.json,72.0,S0052
Apna,apna,Apna,Bengaluru,Karnataka,hr-tech/jobs,Unicorn,40.0,1100.0,Nirmit Parikh,Private,Blue-collar jobs unicorn,1,https://bhavyasharmaandassociates.com/reports/top-100-startups-2026.html,d1_hubs_unicorns.json,71.2,S0053
BharatPe,bharatpe,BharatPe,Delhi NCR,Delhi,fintech payments/lending | fintech/merchant payments,Unicorn,370.0,2900.0,,Private | active,Merchant fintech unicorn,2,https://bhavyasharmaandassociates.com/reports/top-100-startups-2026.html;https://inc42.com/lists/top-30-funded-fintech-startups-in-india-2026,d1_hubs_unicorns.json;d2_sectors.json,70.0,S0054
Euler Motors,euler motors,Euler Motors,Bengaluru,Karnataka,ev commercial | ev manufacturing,Growth,47.0,0.0,,Private | active,EV maker raise Q1 2026,2,https://entrackr.com/report/quarterly-funding-report/indian-startup-funding-climbs-to-nearly-4-bn-in-q1-2026-powered-by-neysa-and-early-stage-deals-11445029;https://m.economictimes.com/tech/funding/indias-climate-tech-funding-reaches-12-8-billion-across-1583-startups-17-years/amp_articleshow/131591378.cms,d1_hubs_unicorns.json;d2_sectors.json,70.0,S0055
Fibe (EarlySalary),fibe earlysalary,Fibe (EarlySalary),Bengaluru,Karnataka,fintech lending | fintech/lending,Pre-IPO,300.0,0.0,,Private | active,Pune lender; IPO filed,2,https://inc42.com/buzz/from-fibe-to-smart-joules-indian-startups-raised-127-mn-this-week/;https://inc42.com/lists/top-20-funded-fintech-startups-in-pune-2026/,d1_hubs_unicorns.json;d2_sectors.json,70.0,S0056
Innovaccer,innovaccer,Innovaccer,Delhi NCR,Delhi,healthtech saas data | healthtech saas/ai,Unicorn,275.0,3500.0,,Private | active,AI-led healthtech mega-deal,2,https://entrackr.com/report/annual-funding-report/indian-startup-funding-drops-10-to-13-bn-in-2025-but-ipo-count-hits-record-18-10958045;https://medicalbuyer.co.in/indias-healthtech-sector-raises-usd-9-9-billion-in-2025,d1_hubs_unicorns.json;d2_sectors.json,70.0,S0057
Pixxel,pixxel,Pixxel,Bengaluru,Karnataka,spacetech | spacetech eo,Series C,100.0,0.0,,"ACTIVE — $100M Series C announced Sep 7 2026, co-led Temasek + Seraphim; total funding $195M | active","EVENT: $100M Series C (Sep 7 2026), largest Indian spacetech round; total $195M",2,https://beststartup.in/india-startup-funding-september-2026-week-one/;https://www.business-standard.com/companies/start-ups/india-s-spacetech-startups-raise-871-million-as-private-sector-takes-off-126072801130_1.html,d2_sectors.json;d3_events_recency.json,70.0,S0058
Ecofy Finance (Ecofy),ecofy finance ecofy,Ecofy;Ecofy Finance (Ecofy),Mumbai,Maharashtra,fintech lending green,growth,55.0,0.0,,active,Top-5 Q1 2026 fintech deal,2,https://m.economictimes.com/tech/funding/fintech-funding-holds-at-513-million-in-q1-2026-even-as-deal-count-collapses-54-report/amp_articleshow/130711873.cms;https://growthlist.co/mumbai-startups/,d2_sectors.json,69.0,S0059
Miko Technologies,miko technologies,Miko Technologies,Mumbai,Maharashtra,edtech robotics,Series D,102.0,0.0,"Sneh Vaswani, Prashant Iyengar, Chintan Raikar (known)",active,AI companion robots; soonicorn,1,https://platform.tracxn.com/a/d/company/5ce7e4f0f036854742999113/miko%20technologies?utm_source=parallel&utm_medium=ai#a:about,d2_sectors.json,69.0,S0060
Nua,nua,Nua,Mumbai,Maharashtra,healthtech / d2c wellness,Series C,50.0,0.0,,"ACTIVE — $50M Series C Sep 2026 led Peak XV + Filter Capital (part-secondary; exits for Kae, Lightbox)","EVENT: $50M Series C (week of Sep 7-12 2026), women's wellness",1,https://yourstory.com/2026/09/weekly-funding-roundup-sept-5-11-vc-inflow-doubles-this-week,d3_events_recency.json,69.0,S0061
Truemeds,truemeds,Truemeds,Mumbai,Maharashtra,healthtech pharmacy,Series C,85.0,0.0,"Akshat Nayyar, Kunal Wani (known)",active,Telehealth generics,1,https://www.tice.news/tice-trending/indias-startup-funding-surges-38-healthtech-ai-and-ipo-momentum-lead-the-charge-9665928,d2_sectors.json,69.0,S0062
Weaver Services,weaver services,Weaver Services;Weaver Services (Weaver),Mumbai,Maharashtra,fintech,Growth,170.0,0.0,,Private,2025 fintech growth deal,2,https://entrackr.com/report/annual-funding-report/indian-startup-funding-drops-10-to-13-bn-in-2025-but-ipo-count-hits-record-18-10958045;https://www.fortuneindia.com/business-news/indias-fintech-funding-rebounds-to-2-billion-in-h1-2026-driven-by-late-stage-deals-tracxn/148628,d1_hubs_unicorns.json,69.0,S0063
NoBroker,nobroker,NoBroker,Bengaluru,Karnataka,proptech,Unicorn,210.0,1010.0,,Private,First proptech unicorn,1,https://www.livemint.com/companies/start-ups/nobroker-becomes-india-s-first-real-estate-startup-unicorn-11637661414781.html,d1_hubs_unicorns.json,68.0,S0064
Skyroot Aerospace,skyroot aerospace,Skyroot Aerospace,Hyderabad,Telangana,spacetech | spacetech launch,late/unicorn,1100.0,1100.0,"Pawan Kumar Chandana, Naga Bharath Daka",ACTIVE UNICORN — $60M Series C May 2026 at ~$1.1B; India's first private space unicorn | Private | active,India's first spacetech unicorn; Vikram-1,3,https://eqmint.com/indian-unicorns-2026-list/;https://techcrunch.com/2026/05/07/indias-first-space-tech-unicorn-emerges-as-skyroot-gears-up-for-orbital-launch/;https://www.fortuneindia.com/startups-news/skyroot-aerospace-raises-60-million-becomes-indias-first-space-tech-unicorn/136341,d1_hubs_unicorns.json;d2_sectors.json;d3_events_recency.json,68.0,S0065
Digantara,digantara,Digantara,Bengaluru,Karnataka,spacetech ssa,Series B,67.0,0.0,,active,Space situational awareness,1,https://www.business-standard.com/companies/start-ups/india-s-spacetech-startups-raise-871-million-as-private-sector-takes-off-126072801130_1.html,d2_sectors.json,67.0,S0066
Games24x7,games24x7,Games24x7,Mumbai,Maharashtra,gaming rmg | gaming skill,Series C,99.1,0.0,"Bhavin Pandya, Trivikraman Thampy (known)",LAYOFF Sep 2025 — 400 cut (2nd round) after RMG ban; 180 cut May (GST pressure) | active,RummyCircle parent,2,https://inc42.com/features/indian-startup-layoff-tracker-2025/;https://tracxn.com/d/explore/gaming-startups-in-india/__l0hd49FrHYYyE-hgF3d8DYfyM7vWKY8fAEFHgB103lo/companies,d2_sectors.json;d3_events_recency.json,67.0,S0067
Infra.Market,infra market,Infra.Market,Mumbai,Maharashtra,b2b construction | proptech construction,unicorn,175.0,0.0,"Souvik Sengupta, Aaditya Sharda (known)",PRE-IPO — Rs 5000-8000cr est; bankers being finalised | active,30%+ of 2025 proptech funding,2,https://entrackr.com/report/after-2024-revival-indian-proptech-raises-550-mn-in-2025-amid-full-stack-shift-and-ipo-wave-11069442;https://startupfeed.in/indian-startup-ipo-tracker-2026-drhp-sebi-pipeline/,d2_sectors.json;d3_events_recency.json,67.0,S0068
