tech_id,startup_id,entity,category,name,description,url,as_of,source_id,confidence,notes
TEC0029,S0189,General Autonomy,stack,stack,AI-driven robotics; robot dogs; humanoid systems,,,,MEDIUM,
TEC0030,S0189,General Autonomy,ai,ai_notes,Building advanced AI-driven humanoid robots for labour-intensive workflows,,,,MEDIUM,
TEC0031,S0191,QOSMIC,stack,stack,Optical communication systems; laser-based satellite communication,,,,MEDIUM,
TEC0032,S0191,QOSMIC,ai,ai_notes,Optical communication technology for space data transfer,,,,MEDIUM,
TEC0033,S0192,Hachidori Robotics,stack,stack,Autonomous mobile robots; patented indoor positioning system,,,,MEDIUM,
TEC0034,S0192,Hachidori Robotics,patent,patents,Patented indoor positioning system,,,,MEDIUM,
TEC0035,S0192,Hachidori Robotics,ai,ai_notes,"AMR navigation without tracks, magnets, or shutdowns",,,,MEDIUM,
TEC0036,S0193,TransBnk,stack,stack,API-first banking infrastructure; transaction banking platform,,,,MEDIUM,
TEC0037,S0193,TransBnk,ai,ai_notes,Banking infrastructure platform embedding into bank core systems,,,,MEDIUM,
TEC0038,S0194,Olee Space,stack,stack,"Photonics, laser communication, directed energy",,,,MEDIUM,
TEC0039,S0195,Atlys,stack,stack,AI-powered visa processing,,,,MEDIUM,
TEC0040,S0195,Atlys,ai,ai_notes,AI tools for visa application processing,,,,MEDIUM,
TEC0041,S0196,Goldi Solar,stack,stack,Solar PV manufacturing,,,,MEDIUM,
TEC0042,S0197,Kiwi (Gokiwi Tech),stack,stack,"Fintech, UPI credit infrastructure",,,,MEDIUM,
TEC0043,S0198,Circolife,stack,stack,IoT-enabled cooling systems,,,,MEDIUM,
TEC0044,S0198,Circolife,ai,ai_notes,IoT-enabled machines are self-learning,,,,MEDIUM,
TEC0045,S0207,Arivihan,stack,stack,AI / edtech,,,,MEDIUM,
TEC0046,S0207,Arivihan,patent,patents,[],,,,MEDIUM,
TEC0047,S0207,Arivihan,brand,trademarks,[],,,,MEDIUM,
TEC0048,S0207,Arivihan,ai,ai_notes,AI-led automated coaching for school students,,,,MEDIUM,
TEC0049,S0208,Netrasemi (NetraSemi),stack,stack,Semiconductor / Edge AI SoC,https://m.economictimes.com/tech/funding/semiconductor-startup-netrasemi-raises-rs-107-crore-from-zoho-unicorn-india-ventures/articleshow/122880826.cms,,SRC02871,MEDIUM,
TEC0050,S0208,Netrasemi (NetraSemi),patent,patents,[],https://m.economictimes.com/tech/funding/semiconductor-startup-netrasemi-raises-rs-107-crore-from-zoho-unicorn-india-ventures/articleshow/122880826.cms,,SRC02871,MEDIUM,
TEC0051,S0208,Netrasemi (NetraSemi),brand,trademarks,[],https://m.economictimes.com/tech/funding/semiconductor-startup-netrasemi-raises-rs-107-crore-from-zoho-unicorn-india-ventures/articleshow/122880826.cms,,SRC02871,MEDIUM,
TEC0052,S0208,Netrasemi (NetraSemi),ai,ai_notes,Building system-on-chip (SoC) circuits for edge AI computing,https://m.economictimes.com/tech/funding/semiconductor-startup-netrasemi-raises-rs-107-crore-from-zoho-unicorn-india-ventures/articleshow/122880826.cms,,SRC02871,MEDIUM,
TEC0053,S0221,Fermionic Design,stack,stack,"GaN-based RF chips, Beamformer (BFM), Front-End Module (FEM)",,,,MEDIUM,
TEC0054,S0221,Fermionic Design,ai,ai_notes,"Semiconductor design for X-band communication, wireline transceivers",,,,MEDIUM,
TEC0055,S0234,Qure.ai,stack,stack,AI medical imaging,https://www.qure.ai/news-press-coverages/qure-ai-gets-series-d-funding-to-expand-healthcare-ai,,SRC03084,HIGH,
TEC0056,S0234,Qure.ai,ai,ai_notes,AI models for healthcare diagnostics,https://www.qure.ai/news-press-coverages/qure-ai-gets-series-d-funding-to-expand-healthcare-ai,,SRC03084,HIGH,
TEC0057,S0235,Greenwave Circularity,stack,stack,Integrated PET recycling; AI claim appears only in weak secondary result and is excluded,https://www.oe-eb.at/en/our-projects/projects-at-a-glance/greenwave.html,,SRC03087,HIGH,
TEC0058,S0236,Shortgun Games,stack,stack,Game development,https://www.shortgun.in/press,,SRC03091,MEDIUM,
TEC0059,S0237,Uolo,stack,stack,AI-powered learning,https://yourstory.com/2025/12/uolo-raises-7m-in-pre-series-b-round-to-expand-ai-adoption-in-indian-schools,,SRC03097,HIGH,
TEC0060,S0237,Uolo,ai,ai_notes,AI adoption in Indian schools,https://yourstory.com/2025/12/uolo-raises-7m-in-pre-series-b-round-to-expand-ai-adoption-in-indian-schools,,SRC03097,HIGH,
TEC0061,S0238,AgroStar,stack,stack,Digital farming / agronomy technology,https://entrackr.com/news/agrostar-raises-30-mn-led-by-climate-focused-investment-firm-just-climate-10791229,,SRC03101,MEDIUM,
TEC0062,S0338,Hisabkitab,stack,stack,AI accounting,https://entrepreneur.economictimes.indiatimes.com/news/funding/hisabkitab-secures-seed-funding-to-enhance-ai-driven-accounting-solutions/132408911,,SRC03763,MEDIUM,
TEC0063,S0338,Hisabkitab,patent,patents,[],https://entrepreneur.economictimes.indiatimes.com/news/funding/hisabkitab-secures-seed-funding-to-enhance-ai-driven-accounting-solutions/132408911,,SRC03763,MEDIUM,
TEC0064,S0338,Hisabkitab,brand,trademarks,[],https://entrepreneur.economictimes.indiatimes.com/news/funding/hisabkitab-secures-seed-funding-to-enhance-ai-driven-accounting-solutions/132408911,,SRC03763,MEDIUM,
TEC0065,S0338,Hisabkitab,ai,ai_notes,AI-powered accounting platform with AI finance agents,https://entrepreneur.economictimes.indiatimes.com/news/funding/hisabkitab-secures-seed-funding-to-enhance-ai-driven-accounting-solutions/132408911,,SRC03763,MEDIUM,
TEC0066,S0339,Pickkup,stack,stack,EV logistics technology,https://auto.economictimes.indiatimes.com/news/auto-technology/logistics-startup-pickkup-raises-500k-to-expand-electric-fleet/118597568,,SRC03768,MEDIUM,
TEC0067,S0339,Pickkup,patent,patents,[],https://auto.economictimes.indiatimes.com/news/auto-technology/logistics-startup-pickkup-raises-500k-to-expand-electric-fleet/118597568,,SRC03768,MEDIUM,
TEC0068,S0339,Pickkup,brand,trademarks,[],https://auto.economictimes.indiatimes.com/news/auto-technology/logistics-startup-pickkup-raises-500k-to-expand-electric-fleet/118597568,,SRC03768,MEDIUM,
TEC0069,S0339,Pickkup,ai,ai_notes,Electric vehicle fleet management for logistics,https://auto.economictimes.indiatimes.com/news/auto-technology/logistics-startup-pickkup-raises-500k-to-expand-electric-fleet/118597568,,SRC03768,MEDIUM,
TEC0070,S0340,ShopKirana,stack,stack,B2B e-commerce,https://inc42.com/company/finova-capital/,,SRC03778,MEDIUM,
TEC0071,S0340,ShopKirana,patent,patents,[],https://inc42.com/company/finova-capital/,,SRC03778,MEDIUM,
TEC0072,S0340,ShopKirana,brand,trademarks,[],https://inc42.com/company/finova-capital/,,SRC03778,MEDIUM,
TEC0073,S0340,ShopKirana,ai,ai_notes,B2B retail supply platform,https://inc42.com/company/finova-capital/,,SRC03778,MEDIUM,
TEC0074,S0341,Theater,stack,stack,D2C fashion e-commerce,https://inc42.com/buzz/d2c-fashion-startup-bags-%E2%82%B975-cr-to-expand-offline/,,SRC03780,MEDIUM,
TEC0075,S0341,Theater,patent,patents,[],https://inc42.com/buzz/d2c-fashion-startup-bags-%E2%82%B975-cr-to-expand-offline/,,SRC03780,MEDIUM,
TEC0076,S0341,Theater,brand,trademarks,[],https://inc42.com/buzz/d2c-fashion-startup-bags-%E2%82%B975-cr-to-expand-offline/,,SRC03780,MEDIUM,
TEC0077,S0341,Theater,ai,ai_notes,Women's D2C fashion brand,https://inc42.com/buzz/d2c-fashion-startup-bags-%E2%82%B975-cr-to-expand-offline/,,SRC03780,MEDIUM,
TEC0078,S0343,Lissun,stack,stack,AI-powered EAP,,,,MEDIUM,
TEC0079,S0343,Lissun,ai,ai_notes,AI-adaptive mental health platform,,,,MEDIUM,
TEC0080,S0344,Aeron Systems,stack,stack,"navigation, weather sensing, intelligent monitoring",,,,LOW,
TEC0081,S0344,Aeron Systems,patent,patents,[],,,,LOW,
TEC0082,S0344,Aeron Systems,brand,trademarks,[],,,,LOW,
TEC0083,S0345,Alle,stack,stack,AI fashion stylist,,,,MEDIUM,
TEC0084,S0345,Alle,ai,ai_notes,Personal AI stylist for fashion discovery,,,,MEDIUM,
TEC0085,S0346,Altigreen,stack,stack,EV powertrain,,,,MEDIUM,
TEC0086,S0347,Clear (ClearTax),stack,stack,"tax filing SaaS, financial services",,,,LOW,
TEC0087,S0347,Clear (ClearTax),patent,patents,[],,,,LOW,
TEC0088,S0347,Clear (ClearTax),brand,trademarks,[],,,,LOW,
TEC0089,S0348,Gramophone,stack,stack,agritech advisory,,,,LOW,
TEC0090,S0348,Gramophone,patent,patents,[],,,,LOW,
TEC0091,S0348,Gramophone,brand,trademarks,[],,,,LOW,
TEC0092,S0349,Indrajaal,stack,stack,"AI anti-drone, counter-UAS, autonomous patrol vehicles",,,,MEDIUM,
TEC0093,S0349,Indrajaal,patent,patents,[],,,,MEDIUM,
TEC0094,S0349,Indrajaal,brand,trademarks,[],,,,MEDIUM,
TEC0095,S0349,Indrajaal,ai,ai_notes,AI-enabled anti-drone systems,,,,MEDIUM,
TEC0096,S0350,Leap India,stack,stack,"logistics, pallet rental",,,,LOW,
TEC0097,S0350,Leap India,patent,patents,[],,,,LOW,
TEC0098,S0350,Leap India,brand,trademarks,[],,,,LOW,
TEC0099,S0351,Ola Electric,stack,stack,"EV manufacturing, battery technology",,,,MEDIUM,
TEC0100,S0351,Ola Electric,patent,patents,[],,,,MEDIUM,
TEC0101,S0351,Ola Electric,brand,trademarks,[],,,,MEDIUM,
TEC0102,S0352,Rilo,stack,stack,"AI marketing intelligence, agentic AI",,,,MEDIUM,
TEC0103,S0352,Rilo,patent,patents,[],,,,MEDIUM,
TEC0104,S0352,Rilo,brand,trademarks,[],,,,MEDIUM,
TEC0105,S0352,Rilo,ai,ai_notes,AI-powered marketing intelligence and agentic AI workflows,,,,MEDIUM,
TEC0106,S0353,Sanlayan Technologies,stack,stack,"AESA radar, electronic warfare, defence electronics",,,,MEDIUM,
TEC0107,S0353,Sanlayan Technologies,patent,patents,[],,,,MEDIUM,
TEC0108,S0353,Sanlayan Technologies,brand,trademarks,[],,,,MEDIUM,
TEC0109,S0364,Log9 Materials,stack,stack,Battery cell manufacturing,,,,MEDIUM,
TEC0110,S0364,Log9 Materials,patent,patents,Lithium-ion cell technology,,,,MEDIUM,
TEC0111,S0365,PokerBaazi,stack,stack,Online gaming platform,,,,MEDIUM,
TEC0112,S0367,Zupee,stack,stack,Online gaming platform,https://www.latestly.com/technology/indian-startup-layoffs-1700-jobs-slashed-in-q1-2026-as-livspace-flipkart-and-zupee-pivot-toward-ai-led-operations-7392340.ht,,SRC03944,MEDIUM,
TEC0113,S0367,Zupee,ai,ai_notes,Pivoting to AI-led operations and micro-dramas,https://www.latestly.com/technology/indian-startup-layoffs-1700-jobs-slashed-in-q1-2026-as-livspace-flipkart-and-zupee-pivot-toward-ai-led-operations-7392340.ht,,SRC03944,MEDIUM,
