customer_id,startup_id,name,type,geography,announced_date,status,source_id,confidence,notes
CUS0059,S0029,Dunzo,Marketplace,,2022-06-21,active_unverified,SRC00569,MEDIUM,
CUS0060,S0029,Aditya Birla Capital,Financial Services,,2022-06-21,active_unverified,SRC00570,MEDIUM,
CUS0061,S0029,NIIT,Education,,2022-06-21,active_unverified,SRC00570,MEDIUM,
CUS0062,S0029,Manipal University,Education,,2022-06-21,active_unverified,SRC00570,MEDIUM,
CUS0063,S0029,Amity University,Education,,2022-06-21,active_unverified,SRC00570,MEDIUM,
CUS0064,S0029,Olx,Marketplace,,2022-06-21,active_unverified,SRC00570,MEDIUM,
CUS0065,S0029,Kotak Securities,BFSI,,2022-06-21,active_unverified,SRC00570,MEDIUM,
CUS0066,S0029,Cars24,Marketplace,,2022-06-21,active_unverified,SRC00570,MEDIUM,
CUS0067,S0029,Zoomcar,Marketplace,,2022-06-21,active_unverified,SRC00570,MEDIUM,
CUS0068,S0029,Profectus Capital,Financial Services,,2022-06-21,active_unverified,SRC00570,MEDIUM,
CUS0069,S0029,Pepper India Resolution,Debt Recovery,,2020-09-30,active_unverified,SRC00575,MEDIUM,
CUS0070,S0029,Practo,Healthcare,,2022-06-21,active_unverified,SRC00569,MEDIUM,
CUS0071,S0029,Poonawalla Fincorp,Financial Services,,2022-06-21,active_unverified,SRC00569,MEDIUM,
CUS0072,S0029,Godrej Housing Finance,Financial Services,,2022-06-21,active_unverified,SRC00569,MEDIUM,
CUS0073,S0029,Angel One,Stockbroking,,2022-06-21,active_unverified,SRC00569,MEDIUM,
CUS0074,S0030,"Samsung, Deutsche Telekom (T-Mobile), Ally Financial, Nestle, Flipkart, Domino's, McAfee",enterprise,,,claimed,SRC00582,,
CUS0075,S0031,"125.5M registered users, ~10M monetised; 42 bank/NBFC partners (Dec 2025)",consumer,,,active,,,
CUS0076,S0032,Fortune 500 companies (unnamed),enterprise,,,active,SRC00599,MEDIUM,140+ Fortune 500 companies claimed on company website; no specific named customers with evidence
CUS0077,S0032,Pharma client (unnamed),enterprise,,,active,SRC00599,LOW,"Customer testimonial on mu-sigma.com: VP Strategy and Insights, Pharma"
CUS0078,S0032,Technology client (unnamed),enterprise,,,active,SRC00599,LOW,"Customer testimonial on mu-sigma.com: Head of Digital Marketing, Technology"
CUS0079,S0032,CPG client (unnamed),enterprise,,,active,SRC00599,LOW,"Customer testimonial on mu-sigma.com: Director Procurement Transformation, CPG"
CUS0080,S0033,"Amazon, Shell, Reliance Industries, Hindustan Unilever; 3000+ customers, 450K+ subscribers",enterprise,,,active,SRC00606,,
CUS0081,S0034,"PayPal, Siemens, WhatsApp; 98% of Fortune 500; 500,000+ orgs",enterprise,,,company-reported,SRC00613,,
CUS0082,S0034,PayPal,enterprise,,,company-reported,SRC00612,MEDIUM,
CUS0083,S0034,Siemens,enterprise,,,company-reported,SRC00612,MEDIUM,
CUS0084,S0034,Cisco Meraki,enterprise,,,company-reported,SRC00612,MEDIUM,
CUS0085,S0034,Crédit Mutuel Arkéa,enterprise,,,company-reported,SRC00612,MEDIUM,95% of users save time every day with Postman
CUS0086,S0034,98% of Fortune 500,enterprise,,2025-07-23,company-reported,SRC00613,HIGH,
CUS0087,S0035,HDFC Bank,bank,,2024-08-26,active,SRC00628,HIGH,
CUS0088,S0035,Kotak Mahindra Bank,bank,,,active,SRC00643,MEDIUM,
CUS0089,S0035,Axis Bank,bank,,,active,SRC00643,MEDIUM,
CUS0090,S0035,IndusInd Bank,bank,,,active,SRC00643,MEDIUM,
CUS0091,S0035,Yes Bank,bank,,,active,SRC00643,MEDIUM,
CUS0092,S0035,RBL Bank,bank,,,active,SRC00632,MEDIUM,
CUS0093,S0035,SBM Bank India,bank,,,active,SRC00643,MEDIUM,
CUS0094,S0035,Sodexo / Pluxee,enterprise,,,active,SRC00626,HIGH,
CUS0095,S0035,Sparrow Financial,fintech,,2024-03-07,active,SRC00635,MEDIUM,
CUS0096,S0035,IDFC First Bank,bank,,,active,SRC00632,MEDIUM,
CUS0097,S0036,Flipkart marketplace consumers,consumer,,2007,active,SRC00651,MEDIUM,54M active users FY2018; India online shopper base 290-300M in 2025 (market-wide)
CUS0098,S0037,1Point1 Solutions,enterprise client,,UNKNOWN,active,SRC00667,LOW,Mentioned as client in Livemint article
CUS0099,S0037,MSMEs (2 million+),SME customers,,2025,active,SRC00661,HIGH,20 Lakh SME customers per Inc42
CUS0100,S0038,Unacademy learners (test prep),consumer (students),,,active,SRC00288,HIGH,10M+ users across 150+ countries (Airlearn); UPSC/JEE/NEET/GATE aspirants
CUS0101,S0038,Airlearn users,consumer (language learners),,,active,SRC00676,HIGH,"70K DAU, 300K MAU as of Apr 2025; 17.5K paid subscribers"
CUS0102,S0040,Schneider Electric,enterprise,,,active,SRC00717,MEDIUM,
CUS0103,S0040,Siemens,enterprise,,,active,SRC00717,MEDIUM,
CUS0104,S0040,Indian Oil,enterprise,,,active,SRC00717,MEDIUM,
CUS0105,S0040,Acer,enterprise,,,active,SRC00716,MEDIUM,
CUS0106,S0040,Noise,enterprise,,,active,SRC00716,MEDIUM,
CUS0107,S0040,CG Power Solutions,enterprise,,,active,SRC00716,MEDIUM,
CUS0108,S0042,"Mastercard, Samsung, Vodafone, Ford, Kellogg's, L'Oreal Paris, Nokia, Kia, KFC, Dell, Coca-Cola (per TechCrunch Jul 2024)",enterprise,,,,SRC00754,MEDIUM,
CUS0109,S0042,Mastercard,enterprise,,2024-07-17,active,SRC00760,MEDIUM,
CUS0110,S0042,Samsung,enterprise,,2024-07-17,active,SRC00760,MEDIUM,
CUS0111,S0042,Vodafone,enterprise,,2024-07-17,active,SRC00760,MEDIUM,
CUS0112,S0042,Ford,enterprise,,2024-07-17,active,SRC00760,MEDIUM,
CUS0113,S0042,Kellogg's,enterprise,,2024-07-17,active,SRC00760,MEDIUM,
CUS0114,S0042,L'Oreal Paris,enterprise,,2024-07-17,active,SRC00760,MEDIUM,
CUS0115,S0042,Nokia,enterprise,,2024-07-17,active,SRC00760,MEDIUM,
CUS0116,S0042,Kia,enterprise,,2024-07-17,active,SRC00760,MEDIUM,
CUS0117,S0042,KFC,enterprise,,2024-07-17,active,SRC00760,MEDIUM,
CUS0118,S0042,Dell,enterprise,,2024-07-17,active,SRC00760,MEDIUM,
CUS0119,S0042,Coca-Cola,enterprise,,2024-07-17,active,SRC00760,MEDIUM,
CUS0120,S0042,Google,enterprise,,2026-05-07,active,SRC00759,MEDIUM,MobileAction client; also Glance backer
CUS0121,S0042,Meta,enterprise,,2026-05-07,active,SRC00759,MEDIUM,MobileAction client
CUS0122,S0044,Zomato,aggregator,,,active,SRC00789,MEDIUM,Rebel Foods derives revenue via food delivery aggregators
CUS0123,S0044,Swiggy,aggregator,,,active,,MEDIUM,Standard aggregator partner for cloud kitchens
CUS0124,S0044,Wendy's India,franchise partner,,,active,SRC00786,HIGH,Master franchise operator
CUS0125,S0045,Pet parents (B2C consumers),B2C individual consumers,,,Active,SRC00808,HIGH,
CUS0126,S0046,"~150 Fortune 500 incl. Google, Wells Fargo, Microsoft, Alphabet",enterprise,,,,SRC00824,HIGH,
CUS0127,S0047,Kirana stores,B2B retailer,,,Active,SRC00835,HIGH,"500,000+ kirana stores served across 400+ cities"
CUS0128,S0047,MSMEs,B2B business,,,Active,SRC00835,HIGH,MSMEs served alongside kiranas
CUS0129,S0047,Brands and staples producers,B2B seller,,,Active,SRC00835,HIGH,"2,000+ brands partnered"
CUS0130,S0048,Individual homeowners (B2C),consumer,,2014,Active,SRC00856,HIGH,"Primary customer segment; B2C homeowners across India, Singapore, Middle East"
CUS0131,S0049,234.2M transacting users,B2C consumers,,,,SRC00888,HIGH,
CUS0132,S0049,"706,471 annual transacting sellers",SMBs/manufacturers,,,,SRC00888,HIGH,
CUS0133,S0049,1.04M annual transacting sellers,SMBs/manufacturers,,,,SRC00897,HIGH,
CUS0134,S0051,Individual riders (B2C),Consumer,,,Active,SRC00946,HIGH,
CUS0135,S0051,Ministry of Road Transport and Highways,Government partnership,,2026-06-08,Active,SRC00948,HIGH,
CUS0136,S0051,National Restaurants Association of India (NRAI),Industry partnership,,2025-09,Active,SRC00949,MEDIUM,
CUS0137,S0051,Swiggy (delivery partner),Business partnership,,2022,Ended (Swiggy exited Sep 2025),SRC00950,HIGH,
CUS0138,S0052,Facebook/Meta,advertiser,,2019-2020,past,SRC00989,MEDIUM,Worked with ShareChat on regional campaigns
CUS0139,S0052,Coca-Cola,advertiser,,2019-2020,past,SRC00989,MEDIUM,
CUS0140,S0052,Airtel,advertiser,,2019-2020,past,SRC00989,MEDIUM,
CUS0141,S0052,Pepsi,advertiser,,2019-2020,past,SRC00989,MEDIUM,
CUS0142,S0052,OYO,advertiser,,2019-2020,past,SRC00989,MEDIUM,
CUS0143,S0052,Snapdeal,advertiser,,2019-2020,past,SRC00989,MEDIUM,
CUS0144,S0052,Future Group,advertiser,,2019-2020,past,SRC00989,MEDIUM,
CUS0145,S0052,MTR,advertiser,,2019-2020,past,SRC00989,MEDIUM,
CUS0146,S0052,Large FMCG firms and gaming companies,advertiser,,2024,current,SRC00983,MEDIUM,CEO Sachdeva stated attracting large FMCG firms and gaming companies as advertisers
CUS0147,S0052,Real-money gaming companies,advertiser,,FY24,declined,SRC00987,HIGH,Ad revenue fell 8.1% due to GST increase on RMG and government ban on RMG
CUS0148,S0053,Jio,enterprise,,,active,SRC00999,MEDIUM,
CUS0149,S0053,Zomato,enterprise,,,active,SRC00999,MEDIUM,
CUS0150,S0053,Swiggy,enterprise,,,active,SRC00999,MEDIUM,
CUS0151,S0053,Urban Company,enterprise,,,active,SRC00999,MEDIUM,
CUS0152,S0053,Flipkart,enterprise,,,active,SRC00999,MEDIUM,
CUS0153,S0053,Tech Mahindra,enterprise,,,active,SRC00999,MEDIUM,
CUS0154,S0053,AICTE,government,,2024-02-28,active,SRC01009,HIGH,
CUS0155,S0053,Ministry of Labour,government,,2025-02-19,active,SRC00998,HIGH,MoU to bring 10 Lakh job opportunities annually to NCS portal
CUS0156,S0054,"~13M merchants; 450M monthly UPI txns (Oct 2024, company-reported)",sme,,,company-reported,SRC01013,,
CUS0157,S0055,BigBasket,e-commerce / hyperlocal delivery,,unknown,fleet customer (inferred),SRC01043,LOW,BigBasket mentioned in EV adoption context for last-mile delivery; direct Euler partnership not confirmed
CUS0158,S0055,Logistics/fleet operators (unnamed),B2B fleet,,unknown,active customers,SRC01025,MEDIUM,"Euler Motors sells to logistics, e-commerce, hyperlocal delivery fleets; specific names not confirmed in sources"
CUS0159,S0057,"Kaiser Permanente, Banner Health (also investors); 100+ US health systems (company-reported)",enterprise,,,company-reported,SRC01052,,
CUS0160,S0058,NASA (Commercial Satellite Data Acquisition program),gov,,2024-09-09,contracted,SRC01070,HIGH,
CUS0161,S0058,"US National Reconnaissance Office (NRO CSPO, SCE Phase)",gov,,2023-03-23,contracted,SRC01071,HIGH,
CUS0162,S0063,Self-employed individuals and women borrowers,B2C,,UNKNOWN,active,SRC01175,HIGH,
CUS0163,S0064,HDFC Bank,enterprise/banking,,2020-05-01,active,SRC01191,HIGH,PayZapp partnership for rent payment rewards
CUS0164,S0064,Tata AIG,enterprise/insurance,,Unknown,active,SRC01190,HIGH,ConvoZen.AI client
CUS0165,S0064,Cars24,enterprise/automotive,,Unknown,active,SRC01190,HIGH,ConvoZen.AI client
CUS0166,S0064,Apollo,enterprise/healthcare,,Unknown,active,SRC01196,HIGH,ConvoZen.AI client
CUS0167,S0065,Mixed domestic/international payloads for Vikram-1 maiden flight (EO sats + in-orbit modules),enterprise,,,announced,SRC01204,,
CUS0168,S0066,US Space Command,government/defence,,2025-02-01,active,SRC01209,MEDIUM,Contracts for analytics as a service; Colorado Springs office opened Feb 2025 to serve US defense market
CUS0169,S0066,Missile Defense Agency (MDA),government/defence,,2025-12-01,selected,SRC01209,MEDIUM,US entity selected for MDA's SHIELD contract vehicle supporting next-generation missile defense programs
CUS0170,S0066,"Defence Science and Technology Agency (DSTA), Singapore",government/defence,,2026-02-03,active,SRC01221,HIGH,Partnership to co-develop tools for Space Situational Awareness; announced at Space Summit 2026
CUS0171,S0066,Government of India (defence tenders),government/defence,,2025-12-01,selected,SRC01209,MEDIUM,Selected as winning bidder for government defense tenders in India; completing administrative formalities
CUS0172,S0066,Indo-Australian Joint Mission,government/defence,,2024-05-01,active,SRC01227,MEDIUM,Selected for joint India-Australia space mission to manage debris in space
CUS0173,S0068,Real estate developers,enterprise,,,active,SRC01256,MEDIUM,
CUS0174,S0068,Contractors,enterprise,,,active,SRC01256,MEDIUM,
CUS0175,S0068,Architects,enterprise,,,active,SRC01256,MEDIUM,
CUS0176,S0068,Infrastructure companies,enterprise,,,active,SRC01259,MEDIUM,
CUS0177,S0068,Industrial/Commercial projects,enterprise,,,active,SRC01259,MEDIUM,
CUS0178,S0070,NBFC partners (co-lenders),institutional,,,active,SRC01304,MEDIUM,Navi Fintech acts as Lending Service Provider to Navi Finserv and co-lenders
CUS0179,S0070,Insurance partners,institutional,,,active,SRC01301,LOW,Navi General Insurance offers health insurance; specific insurer partners not disclosed
CUS0180,S0070,Individual consumers,consumer,,,active,SRC00082,HIGH,Hundreds of millions of users across India; ~100K new customers daily
CUS0181,S0070,NBFC partners (co-lenders),institutional,,,active,SRC01304,MEDIUM,
CUS0182,S0070,Insurance partners,institutional,,,active,SRC01301,LOW,
CUS0183,S0070,Individual consumers,consumer,,,active,SRC00082,HIGH,
CUS0184,S0071,Flipkart,e-commerce partner,,2021-12-13,active,SRC01314,HIGH,Flipkart Group CEO Kalyan Krishnamurthy quoted in Dec 2021 investment statement; Flipkart holds 12.7% stake
CUS0185,S0071,Instamart (Swiggy),quick-commerce customer,,,active,SRC01315,MEDIUM,ET Oct 2023: 'Ninjacart is also associated with ecommerce companies like Flipkart and quick-commerce firms such as Instamart to supply fresh produce'
CUS0186,S0071,IDFC First Bank,financing partner,,,active,SRC01315,MEDIUM,Financing marketplace partner for farmers/traders
CUS0187,S0071,Mintifi Finserve,financing partner,,,active,SRC01315,MEDIUM,Financing marketplace partner
CUS0188,S0071,Arado (Brazil),international partner,,,active,SRC01315,MEDIUM,Brazil-based agriculture marketplace; Ninjacart provides tech stack and picked up a stake
CUS0189,S0071,Quick-commerce companies (unnamed),customer,,2026-07-02,active,SRC01308,MEDIUM,"BL Jul 2026: 'Ninjacart has quietly become one of the most important companies in the quick commerce space, being a multi-city strategic supplier for several of the biggies'"
CUS0190,S0075,Verizon,retail partner,,2024-08-27,active,SRC01425,HIGH,
CUS0191,S0075,UAE Team Emirates,sports team customer,,,active,SRC01413,MEDIUM,
CUS0192,S0075,Team ADQ,sports team customer,,,active,SRC01413,MEDIUM,
CUS0193,S0075,Mayo Clinic,research partner,,,active,SRC01405,MEDIUM,Ongoing GLP-1 clinical trial
CUS0194,S0076,B2C consumers (cafe patrons),consumer,,,active,SRC01443,HIGH,Primary customer segment; cafe retail
CUS0195,S0077,Zepto,enterprise,,,active,SRC01464,MEDIUM,
CUS0196,S0077,Zomato / Blinkit,enterprise,,,active,SRC01464,MEDIUM,
CUS0197,S0078,homebuyers,B2C,,,active,SRC01469,MEDIUM,
CUS0198,S0078,real estate agents,B2B,,,active,SRC01469,MEDIUM,
CUS0199,S0078,banks and NBFCs,B2B,,,active,SRC01468,MEDIUM,
CUS0200,S0078,Grade-A developers,B2B,,,active,SRC01469,MEDIUM,
CUS0201,S0085,L&T,Enterprise customer (steel supply),,,active,SRC01554,MEDIUM,
CUS0202,S0085,Adani,Enterprise customer (steel supply),,,active,SRC01554,MEDIUM,
CUS0203,S0085,"50,000+ SMEs",Active SME customers,,2026-04-01,active,SRC01531,MEDIUM,
CUS0204,S0085,"100,000+ SMEs (Oxyzo)",SME lending customers,,2026-06-30,active,SRC01542,HIGH,
CUS0205,S0085,"1,500,000+ businesses (BidAssist)",Tender discovery users,,2026-06-30,active,SRC01540,MEDIUM,
CUS0206,S0090,Bombay International School,school,,,active,SRC01613,HIGH,
CUS0207,S0090,Dhirubhai Ambani International School,school,,,active,SRC01613,HIGH,
CUS0208,S0090,Canadian International School (Bengaluru),school,,,active,SRC01613,HIGH,
CUS0209,S0090,Aspen School District,school district,,,active,SRC01615,HIGH,
CUS0210,S0090,NYC Public Schools,school district,,,active,SRC01615,HIGH,
CUS0211,S0090,Chicago Public Schools,school district,,,active,SRC01615,HIGH,
CUS0212,S0090,"Nord Anglia International School, Dublin",school,,,active,SRC01615,HIGH,
CUS0213,S0090,Western Academy of Beijing,school,,,active,SRC01615,HIGH,
CUS0214,S0090,Dubai International Academy,school,,,active,SRC01615,HIGH,
CUS0215,S0090,Silicon Valley International School,school,,,active,SRC01615,HIGH,
CUS0216,S0090,The Mount Vernon School,school,,,active,SRC01615,HIGH,
CUS0217,S0090,UWC Maastricht,school,,,active,SRC01615,HIGH,
CUS0218,S0090,Daystar Academy,school,,,active,SRC01615,HIGH,
CUS0219,S0090,International Charter School of Atlanta,school,,,active,SRC01615,HIGH,
CUS0220,S0090,The Epstein School,school,,,active,SRC01615,HIGH,
CUS0221,S0092,MakeMyTrip,OTA,,,active,SRC01661,HIGH,
CUS0222,S0092,Cleartrip (Flipkart),OTA,,2023-03-09,active,SRC01662,HIGH,
CUS0223,S0092,1150+ corporate partners,enterprise,,2025-08,active,SRC01663,MEDIUM,
CUS0224,S0093,D2C consumers,consumer,,,active,SRC01680,HIGH,Primary customer segment; online food delivery via app/website
CUS0225,S0093,Delivery platforms,partner,,,active,SRC01680,MEDIUM,Orders via Swiggy/Zomato and own app/website
CUS0226,S0094,Fortune 500 companies (unnamed),enterprise,,,active,SRC01713,MEDIUM,A Fortune 500 company worked with Emeritus Enterprise to ensure leaders across various units developed skills to take full advantage of AI (Nov 2022)
CUS0227,S0094,Government cohorts,government,,,active,SRC01699,MEDIUM,Enterprise and government cohorts mentioned in Series F funding purpose
CUS0228,S0095,Direct-to-consumer (B2C),consumer,,,active,SRC01737,HIGH,"Primary customer segment; D2C via own website, app, e-commerce, quick commerce, offline retail"
CUS0229,S0095,Amazon,e-commerce platform,,,active,SRC01735,MEDIUM,25% of business via e-commerce platforms including Amazon and Flipkart
CUS0230,S0095,Flipkart,e-commerce platform,,,active,SRC01735,MEDIUM,25% of business via e-commerce platforms
CUS0231,S0096,Colorado State University,educational institution,,2022-04-01,partnership,SRC01742,MEDIUM,HBL: April 2022 partnership for MCIS programme
CUS0232,S0096,Duolingo,partnership,,2025-05-19,partnership,SRC01753,LOW,Tracxn news feed mentions Duolingo DET coaching partnership
CUS0233,S0098,Ultra-High-Net-Worth Individuals (UHNIs),institutional,,2021,active,SRC01764,HIGH,
CUS0234,S0098,Family Offices,institutional,,2021,active,SRC01764,HIGH,
CUS0235,S0098,Institutions and Companies,institutional,,2021,active,SRC01765,MEDIUM,"Advises wealthy individuals, family offices, institutions and companies"
CUS0236,S0100,Nykaa,retail partner,,,unverified,,LOW,No evidence found of Nykaa distribution partnership. Cannot confirm.
CUS0237,S0100,ZMUM,retail partner,,,unverified,,LOW,No evidence found of ZMUM distribution partnership. Cannot confirm.
CUS0238,S0100,"1,109 active designer brands",platform sellers,,2026-03-31,active,SRC01786,HIGH,Platform sellers/designers on PSL marketplace
CUS0239,S0104,Indian Army,defence/government,,2022-08-14,active deployment,SRC01819,HIGH,
CUS0240,S0104,Indian Navy,defence/government,,2023-01-01,active deployment,SRC01819,MEDIUM,
CUS0241,S0104,Armed Forces (India),defence/government,,2021-01-01,active deployment,SRC01816,HIGH,
CUS0242,S0104,Central Government of India,government,,,active deployment,SRC01821,MEDIUM,
CUS0243,S0104,BFSI / Banking sector,enterprise,,,active deployment,SRC01819,MEDIUM,
CUS0244,S0104,Telecom operators,enterprise,,,active deployment,SRC01821,MEDIUM,
CUS0245,S0104,UrbanMatrix,enterprise/defence,,,partnership,SRC01824,MEDIUM,
CUS0246,S0109,Elvish Yadav,brand ambassador,,2024-11-11,active,SRC01900,HIGH,
CUS0247,S0109,Balaji Telefilms,content partner,,2025-08-06,active,SRC01891,HIGH,
CUS0248,S0109,Slay Media,marketing agency partner,,2026-05-04,active,SRC01901,HIGH,
CUS0249,S0110,Retail consumers (India),consumer,,,active,SRC01925,HIGH,Pan-India D2C customer base; 48 cities
CUS0250,S0112,Hero MotoCorp,enterprise,,,,SRC01952,HIGH,
CUS0251,S0112,Tata Steel,enterprise,,,,SRC01952,HIGH,
CUS0252,S0112,Vedanta,enterprise,,,,SRC01952,HIGH,
CUS0253,S0112,Unilever,enterprise,,,,SRC01952,MEDIUM,
CUS0254,S0112,NTPC / Air India (PSUs),gov,,,,SRC01952,MEDIUM,
CUS0255,S0118,Educational Institutions (1500+ globally),Education,,2025-12-02,Active,SRC02004,MEDIUM,1500+ educational institution partnerships per VCCircle; specific IIMs not named
CUS0256,S0118,Individual Retail Investors (35M+),B2C,,2026-09-15,Active,SRC02006,HIGH,35M+ registered users
CUS0257,S0119,Blinkit,Quick Commerce Platform,,,Active,SRC02021,HIGH,
CUS0258,S0119,Zepto,Quick Commerce Platform,,,Active,SRC02031,HIGH,
CUS0259,S0119,Swiggy Instamart,Quick Commerce Platform,,,Active,SRC02021,HIGH,
CUS0260,S0119,Zomato / Eternal,Food Delivery Platform,,,Active,SRC02021,HIGH,
CUS0261,S0119,BigBasket,Grocery Delivery,,,Active,SRC02023,MEDIUM,
CUS0262,S0119,Amazon,E-commerce,,,Active,SRC02023,MEDIUM,
CUS0263,S0119,Flipkart,E-commerce,,,Active,SRC02023,MEDIUM,
CUS0264,S0119,Urban Company,Home Services Platform,,,Active,SRC02023,MEDIUM,
CUS0265,S0119,Snabbit,Home Services Platform,,,Active,SRC02023,MEDIUM,
