startup_id,company,funding_trend,revenue_trend,revenue_trend_basis,profitability_trend,profitability_period,hiring_trend,product_trend,conflicts_open,confidence,evidence_count,notes
S0016,upGrad,MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=2",LOSS-MAKING,2025,INSUFFICIENT_DATA,products=8;tech=1,4,HIGH,15,directions from grouped comparable FY series only; profitability basis=LOSS-MAKING
S0017,BrowserStack,MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=0",INSUFFICIENT_DATA,,EVIDENCE_PRESENT,products=18;tech=1,9,HIGH,22,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0018,Dhan,INSUFFICIENT_DATA,UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",PROFITABLE,2026,INSUFFICIENT_DATA,products=22;tech=1,5,HIGH,28,directions from grouped comparable FY series only; profitability basis=PROFITABLE
S0019,PharmEasy,INSUFFICIENT_DATA,UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",LOSS-MAKING,2025,INSUFFICIENT_DATA,products=2;tech=0,6,MEDIUM,6,directions from grouped comparable FY series only; profitability basis=LOSS-MAKING
S0020,Snapmint,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",INSUFFICIENT_DATA,,INSUFFICIENT_DATA,products=1;tech=0,0,MEDIUM,7,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0021,Upstox,INSUFFICIENT_DATA,INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=2",PROFITABLE,2025,INSUFFICIENT_DATA,products=9;tech=0,6,HIGH,13,directions from grouped comparable FY series only; profitability basis=PROFITABLE
S0022,Udaan,MULTI-ROUND (dated events; direction not inferred),DOWN,">=2 distinct FYs, same metric+unit+currency; n_obs=2",LOSS-MAKING,2025,EVIDENCE_PRESENT,products=3;tech=0,1,MEDIUM,9,directions from grouped comparable FY series only; profitability basis=LOSS-MAKING
S0023,ACKO,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",PROFITABLE,2025,INSUFFICIENT_DATA,products=3;tech=1,1,HIGH,14,directions from grouped comparable FY series only; profitability basis=PROFITABLE
S0024,CoinSwitch Kuber,MULTI-ROUND (dated events; direction not inferred),DOWN,">=2 distinct FYs, same metric+unit+currency; n_obs=2",INSUFFICIENT_DATA,,INSUFFICIENT_DATA,products=3;tech=0,1,MEDIUM,8,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0025,Cult.fit (CureFit),MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",LOSS-MAKING,2026,INSUFFICIENT_DATA,products=2;tech=0,2,HIGH,12,directions from grouped comparable FY series only; profitability basis=LOSS-MAKING
S0026,Fireflies AI,MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=1",INSUFFICIENT_DATA,,EVIDENCE_PRESENT,products=1;tech=0,3,MEDIUM,7,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0027,Hasura,MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=0",INSUFFICIENT_DATA,,INSUFFICIENT_DATA,products=1;tech=0,2,MEDIUM,5,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0028,Icertis,MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=0",INSUFFICIENT_DATA,,INSUFFICIENT_DATA,products=1;tech=0,2,MEDIUM,4,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0029,LeadSquared,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",LOSS-MAKING,2025,INSUFFICIENT_DATA,products=7;tech=0,6,HIGH,16,directions from grouped comparable FY series only; profitability basis=LOSS-MAKING
S0030,MoEngage,MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=0",INSUFFICIENT_DATA,,EVIDENCE_PRESENT,products=1;tech=0,2,MEDIUM,5,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0031,Moneyview,MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=1",PROFITABLE,2025,INSUFFICIENT_DATA,products=1;tech=0,2,MEDIUM,5,directions from grouped comparable FY series only; profitability basis=PROFITABLE
S0032,Mu Sigma,MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=1",INSUFFICIENT_DATA,,INSUFFICIENT_DATA,products=8;tech=0,8,HIGH,16,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0033,Netradyne,MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=0",INSUFFICIENT_DATA,,INSUFFICIENT_DATA,products=1;tech=0,1,MEDIUM,6,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0034,Postman,MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=2",INSUFFICIENT_DATA,,INSUFFICIENT_DATA,products=9;tech=0,5,HIGH,18,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0035,Zeta,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",PROFITABLE,2024,INSUFFICIENT_DATA,products=16;tech=0,7,HIGH,24,directions from grouped comparable FY series only; profitability basis=PROFITABLE
S0036,Flipkart,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",LOSS-MAKING,2025,INSUFFICIENT_DATA,products=6;tech=0,5,HIGH,15,directions from grouped comparable FY series only; profitability basis=LOSS-MAKING
S0037,Porter,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",PROFITABLE,2025,INSUFFICIENT_DATA,products=6;tech=0,6,HIGH,22,directions from grouped comparable FY series only; profitability basis=PROFITABLE
S0038,Unacademy,MULTI-ROUND (dated events; direction not inferred),MIXED,">=2 distinct FYs, same metric+unit+currency; n_obs=4",MIXED,2025,INSUFFICIENT_DATA,products=7;tech=0,8,HIGH,14,directions from grouped comparable FY series only; profitability basis=MIXED
S0039,Vedantu,INSUFFICIENT_DATA,INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=2",LOSS-MAKING,2024,INSUFFICIENT_DATA,INSUFFICIENT_DATA,0,MEDIUM,6,directions from grouped comparable FY series only; profitability basis=LOSS-MAKING
S0040,Zetwerk,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",LOSS-MAKING,2025,INSUFFICIENT_DATA,products=4;tech=0,8,HIGH,12,directions from grouped comparable FY series only; profitability basis=LOSS-MAKING
S0041,Dream11 (Dream Sports),MULTI-ROUND (dated events; direction not inferred),DOWN,">=2 distinct FYs, same metric+unit+currency; n_obs=2",PROFITABLE,2025,INSUFFICIENT_DATA,products=4;tech=1,2,HIGH,13,directions from grouped comparable FY series only; profitability basis=PROFITABLE
S0042,InMobi,MULTI-ROUND (dated events; direction not inferred),STABLE,">=2 distinct FYs, same metric+unit+currency; n_obs=2",LOSS-MAKING,2025,INSUFFICIENT_DATA,products=9;tech=1,8,HIGH,21,directions from grouped comparable FY series only; profitability basis=LOSS-MAKING
S0043,Nykaa,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",PROFITABLE,2027,EVIDENCE_PRESENT,products=3;tech=1,0,HIGH,10,directions from grouped comparable FY series only; profitability basis=PROFITABLE
S0044,Rebel Foods,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",LOSS-MAKING,2026,INSUFFICIENT_DATA,products=13;tech=1,5,HIGH,24,directions from grouped comparable FY series only; profitability basis=LOSS-MAKING
S0045,Drools,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",LOSS-MAKING,2024,INSUFFICIENT_DATA,products=3;tech=0,6,MEDIUM,8,directions from grouped comparable FY series only; profitability basis=LOSS-MAKING
S0046,Fractal Analytics,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",PROFITABLE,2025,EVIDENCE_PRESENT,products=1;tech=1,1,MEDIUM,9,directions from grouped comparable FY series only; profitability basis=PROFITABLE
S0047,Jumbotail,MULTI-ROUND (dated events; direction not inferred),DOWN,">=2 distinct FYs, same metric+unit+currency; n_obs=2",LOSS-MAKING,2025,INSUFFICIENT_DATA,products=6;tech=0,7,HIGH,20,directions from grouped comparable FY series only; profitability basis=LOSS-MAKING
S0048,Livspace,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",LOSS-MAKING,2025,INSUFFICIENT_DATA,products=7;tech=0,9,HIGH,25,directions from grouped comparable FY series only; profitability basis=LOSS-MAKING
S0049,Meesho,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",LOSS-MAKING,2025,INSUFFICIENT_DATA,products=7;tech=0,12,HIGH,15,directions from grouped comparable FY series only; profitability basis=LOSS-MAKING
S0050,Ola (ANI Technologies),MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=0",LOSS-MAKING,2025,INSUFFICIENT_DATA,INSUFFICIENT_DATA,1,MEDIUM,5,directions from grouped comparable FY series only; profitability basis=LOSS-MAKING
S0051,Rapido,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",LOSS-MAKING,2025,INSUFFICIENT_DATA,products=8;tech=0,7,HIGH,21,directions from grouped comparable FY series only; profitability basis=LOSS-MAKING
S0052,ShareChat,MULTI-ROUND (dated events; direction not inferred),STABLE,">=2 distinct FYs, same metric+unit+currency; n_obs=2",INSUFFICIENT_DATA,,INSUFFICIENT_DATA,products=5;tech=0,9,HIGH,22,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0053,Apna,INSUFFICIENT_DATA,STABLE,">=2 distinct FYs, same metric+unit+currency; n_obs=2",LOSS-MAKING,2025,INSUFFICIENT_DATA,products=6;tech=0,7,HIGH,12,directions from grouped comparable FY series only; profitability basis=LOSS-MAKING
S0054,BharatPe,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",INSUFFICIENT_DATA,,INSUFFICIENT_DATA,products=1;tech=0,1,MEDIUM,8,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0055,Euler Motors,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",LOSS-MAKING,2026,INSUFFICIENT_DATA,products=7;tech=0,9,HIGH,19,directions from grouped comparable FY series only; profitability basis=LOSS-MAKING
S0056,Fibe (EarlySalary),INSUFFICIENT_DATA,INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=0",INSUFFICIENT_DATA,,INSUFFICIENT_DATA,INSUFFICIENT_DATA,2,LOW,3,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0057,Innovaccer,MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=0",INSUFFICIENT_DATA,,INSUFFICIENT_DATA,products=1;tech=0,1,MEDIUM,4,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0058,Pixxel,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",LOSS-MAKING,2025,EVIDENCE_PRESENT,products=2;tech=2,3,HIGH,13,directions from grouped comparable FY series only; profitability basis=LOSS-MAKING
S0059,Ecofy Finance (Ecofy),MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=0",INSUFFICIENT_DATA,,INSUFFICIENT_DATA,products=1;tech=0,1,MEDIUM,5,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0060,Miko Technologies,MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=1",LOSS-MAKING,2024,EVIDENCE_PRESENT,products=1;tech=1,1,HIGH,11,directions from grouped comparable FY series only; profitability basis=LOSS-MAKING
S0061,Nua,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",LOSS-MAKING,2024,EVIDENCE_PRESENT,products=7;tech=1,7,HIGH,15,directions from grouped comparable FY series only; profitability basis=LOSS-MAKING
S0062,Truemeds,MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=2",LOSS-MAKING,2024,EVIDENCE_PRESENT,products=5;tech=1,10,HIGH,16,directions from grouped comparable FY series only; profitability basis=LOSS-MAKING
S0063,Weaver Services,MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=2",PROFITABLE,2025,INSUFFICIENT_DATA,products=4;tech=1,6,MEDIUM,9,directions from grouped comparable FY series only; profitability basis=PROFITABLE
S0064,NoBroker,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",PROFITABLE,2024,INSUFFICIENT_DATA,products=4;tech=0,4,HIGH,12,directions from grouped comparable FY series only; profitability basis=PROFITABLE
S0065,Skyroot Aerospace,MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=0",INSUFFICIENT_DATA,,INSUFFICIENT_DATA,products=2;tech=0,1,MEDIUM,6,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0066,Digantara,MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=1",LOSS-MAKING,2025,INSUFFICIENT_DATA,products=5;tech=0,9,HIGH,12,directions from grouped comparable FY series only; profitability basis=LOSS-MAKING
S0067,Games24x7,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",LOSS-MAKING,2025,EVIDENCE_PRESENT,products=8;tech=1,9,HIGH,21,directions from grouped comparable FY series only; profitability basis=LOSS-MAKING
S0068,Infra.Market,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",PROFITABLE,2026,INSUFFICIENT_DATA,products=8;tech=0,9,HIGH,18,directions from grouped comparable FY series only; profitability basis=PROFITABLE
S0069,Kinara AI,INSUFFICIENT_DATA,INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=1",INSUFFICIENT_DATA,,INSUFFICIENT_DATA,INSUFFICIENT_DATA,1,LOW,3,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0070,Navi,MULTI-ROUND (dated events; direction not inferred),STABLE,">=2 distinct FYs, same metric+unit+currency; n_obs=2",MIXED,2026,INSUFFICIENT_DATA,products=13;tech=0,8,HIGH,21,directions from grouped comparable FY series only; profitability basis=MIXED
S0071,Ninjacart,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",LOSS-MAKING,2025,INSUFFICIENT_DATA,products=7;tech=0,4,HIGH,16,directions from grouped comparable FY series only; profitability basis=LOSS-MAKING
S0072,Pine Labs,MULTI-ROUND (dated events; direction not inferred),DOWN,">=2 distinct FYs, same metric+unit+currency; n_obs=2",INSUFFICIENT_DATA,,INSUFFICIENT_DATA,products=7;tech=1,6,HIGH,29,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0073,River Mobility,MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=0",INSUFFICIENT_DATA,,INSUFFICIENT_DATA,INSUFFICIENT_DATA,1,MEDIUM,6,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0074,Rocketlane,MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=0",INSUFFICIENT_DATA,,INSUFFICIENT_DATA,INSUFFICIENT_DATA,1,LOW,3,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0075,Ultrahuman,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",LOSS-MAKING,2026,INSUFFICIENT_DATA,products=14;tech=0,9,HIGH,25,directions from grouped comparable FY series only; profitability basis=LOSS-MAKING
S0076,Third Wave Coffee,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",LOSS-MAKING,2025,INSUFFICIENT_DATA,products=9;tech=0,22,HIGH,16,directions from grouped comparable FY series only; profitability basis=LOSS-MAKING
S0077,Celcius Logistics,INSUFFICIENT_DATA,INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=1",INSUFFICIENT_DATA,,INSUFFICIENT_DATA,products=1;tech=0,1,LOW,3,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0078,Square Yards,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",INSUFFICIENT_DATA,,INSUFFICIENT_DATA,products=8;tech=1,5,HIGH,16,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0079,Wint Wealth,MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=1",INSUFFICIENT_DATA,,INSUFFICIENT_DATA,products=1;tech=0,1,MEDIUM,4,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0080,Airbound,MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=0",INSUFFICIENT_DATA,,INSUFFICIENT_DATA,products=1;tech=0,0,LOW,3,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0081,Ati Motors,MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=1",INSUFFICIENT_DATA,,INSUFFICIENT_DATA,products=1;tech=0,2,MEDIUM,5,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0082,Sapiom,MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=0",INSUFFICIENT_DATA,,INSUFFICIENT_DATA,products=1;tech=0,1,LOW,3,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0083,boAt,MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=1",PROFITABLE,2025,INSUFFICIENT_DATA,products=1;tech=1,1,MEDIUM,7,directions from grouped comparable FY series only; profitability basis=PROFITABLE
S0084,MobiKwik,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",LOSS-MAKING,2025,INSUFFICIENT_DATA,products=1;tech=1,1,MEDIUM,6,directions from grouped comparable FY series only; profitability basis=LOSS-MAKING
S0085,OfBusiness,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",PROFITABLE,2026,INSUFFICIENT_DATA,products=10;tech=0,7,HIGH,28,directions from grouped comparable FY series only; profitability basis=PROFITABLE
S0086,Pristyn Care,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",PROFITABLE,2024,EVIDENCE_PRESENT,products=3;tech=0,2,HIGH,12,directions from grouped comparable FY series only; profitability basis=PROFITABLE
S0087,Swish,MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=2",LOSS-MAKING,2025,INSUFFICIENT_DATA,products=2;tech=0,7,MEDIUM,9,directions from grouped comparable FY series only; profitability basis=LOSS-MAKING
S0088,Hang Ten Systems,INSUFFICIENT_DATA,INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=0",INSUFFICIENT_DATA,,INSUFFICIENT_DATA,INSUFFICIENT_DATA,0,LOW,1,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0089,Moonrider,MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=0",INSUFFICIENT_DATA,,INSUFFICIENT_DATA,INSUFFICIENT_DATA,0,LOW,2,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0090,Toddle,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",PROFITABLE,2025,INSUFFICIENT_DATA,products=6;tech=0,4,HIGH,11,directions from grouped comparable FY series only; profitability basis=PROFITABLE
S0091,Inito,MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=0",INSUFFICIENT_DATA,,INSUFFICIENT_DATA,INSUFFICIENT_DATA,1,LOW,3,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0092,Akasa Air,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",PROFITABLE,2026,INSUFFICIENT_DATA,products=7;tech=0,7,HIGH,13,directions from grouped comparable FY series only; profitability basis=PROFITABLE
S0093,EatClub (BOX8),MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",LOSS-MAKING,2025,INSUFFICIENT_DATA,products=13;tech=1,5,HIGH,22,directions from grouped comparable FY series only; profitability basis=LOSS-MAKING
S0094,Eruditus,MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=2",INSUFFICIENT_DATA,,INSUFFICIENT_DATA,products=7;tech=0,4,HIGH,14,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0095,Innovist,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",PROFITABLE,2025,INSUFFICIENT_DATA,products=4;tech=1,7,HIGH,10,directions from grouped comparable FY series only; profitability basis=PROFITABLE
