case_id,startup_id,type,regulator,jurisdiction,summary,dates,status,source_id,confidence,notes
LGL0031,S0021,notice,SEBI / Finance Ministry,,"SEBI derivatives clampdown (margins, weekly expiries, retail access, broker incentives) clouding broking growth; Upstox diversifying in response.",2024-ongoing,ongoing,SRC00431,,
LGL0032,S0021,regulatory,,,,2024-ongoing,ongoing,SRC00431,HIGH,
LGL0033,S0022,insolvency,Singapore High Court,,Creditors moved against parent Trustroot over $170M convertible notes defaulted Jun 30 2026,2026-07,ongoing per Jul 2026 reporting,,HIGH,
LGL0034,S0022,ruling,NCLT,,NCLT cleared internal restructuring consolidating into Hiveloop Ecommerce,2025,approved,,MEDIUM,
LGL0035,S0023,notice,IRDAI,,IRDAI rejected ACKO's request for relief from Expenses of Management (EoM) limits; auditor flagged as key matter. Must comply by FY26.,Dec 2024 request rejected; May 2025 revised plan rejected; FY26 compliance deadline,ongoing,SRC00459,MEDIUM,
LGL0036,S0024,investigation,Enforcement Directorate,,ED search of Bengaluru offices; suspected FEMA issues; not money-laundering per CEO,2022-08,cooperating; outcome unverified,,HIGH,
LGL0037,S0024,complaint,n/a (civil),,"$7.6M user assets hit by WazirX breach; CoinSwitch absorbed hit, sued WazirX",FY25,proceedings filed,,MEDIUM,
LGL0038,S0025,allegation,police (FIR),,"FIR names Rishabh Telang/Cult Fitness over alleged forgery, 50% stake wipeout claimed by Deepak Poduval",2026-08,alleged; company denies,,MEDIUM,
LGL0039,S0026,allegation,"US District Courts (IL, CA)",,Class-action complaints re alleged unlawful recording/data collection (Cruz v Fireflies IL; Parrinello v Fireflies CA) — allegations only.,filed Dec 2025; Mar 2026 cases,ongoing per 2026 dockets,SRC00517,MEDIUM,
LGL0040,S0032,litigation,,,,2016-03-10,allegation,SRC00598,MEDIUM,Outcome unknown; no further legal proceedings found in search results
LGL0041,S0035,regulatory,,,,2020-12,context,SRC00628,MEDIUM,
LGL0042,S0035,regulatory,,,,,compliance,SRC00644,MEDIUM,
LGL0043,S0035,notice,,,,,none_found,,LOW,
LGL0044,S0036,investigation,,,,2020-01-13,investigation,SRC00652,HIGH,
LGL0045,S0036,complaint,,,,2019,complaint,SRC00652,HIGH,
LGL0046,S0038,complaint,,,,2025-07,ruling,SRC00683,HIGH,
LGL0047,S0038,complaint,,,,2026-02-21,protest,SRC00690,MEDIUM,
LGL0048,S0038,complaint,,,,2026-07,resolved,SRC00691,MEDIUM,
LGL0049,S0038,notice,,,,2022-06,resolved,SRC00692,MEDIUM,
LGL0050,S0038,investigation,,,,2026-07-07,confirmed-violation,SRC00685,HIGH,
LGL0051,S0040,litigation,,,,2025-10-17,in discovery,SRC00726,HIGH,
LGL0052,S0040,litigation,,,,2026-07-22,counterclaim filed,SRC00725,HIGH,
LGL0053,S0040,litigation,,,,2026-07,complaint filed,SRC00725,HIGH,
LGL0054,S0041,ruling,Parliament of India (MeitY minister Ashwini Vaishnaw),,Promotion and Regulation of Online Gaming Bill 2025: blanket ban on offering/promoting/advertising online money games; banks barred from facilitating funds. Dream11 shut paid contests (~90% of fantasy revenue at stake).,"Passed Lok Sabha Aug 20, Rajya Sabha Aug 21, 2025",in force (compliance stated Aug 2025),SRC00738,HIGH,
LGL0055,S0042,regulatory,,,,2024-07,investigation,SRC00760,LOW,
LGL0056,S0044,regulatory,,,,2024-12,approved,SRC00785,HIGH,
LGL0057,S0047,acquisition,,,,2025-05-27,confirmed-violation,SRC00849,HIGH,
LGL0058,S0047,complaint,,,,2025-04,allegation,SRC00838,MEDIUM,
LGL0059,S0048,regulatory,,,,2014-06-23,confirmed-compliance,SRC00859,HIGH,
LGL0060,S0048,regulatory,,,,2024-09-18,in-progress,SRC00884,HIGH,
LGL0061,S0049,penalty,,,,2025-12-02,confirmed-violation,SRC00895,HIGH,
LGL0062,S0049,investigation,,,,2026-05,investigation,SRC00905,MEDIUM,
LGL0063,S0049,regulatory,,,,2025-12,notice,SRC00896,HIGH,
LGL0064,S0049,regulatory,,,,2025,filing,SRC00890,HIGH,
LGL0065,S0051,regulatory,,,,2025-04-02,ruling,SRC00951,HIGH,
LGL0066,S0051,regulatory,,,,2025-04-30,ruling,SRC00952,HIGH,
LGL0067,S0051,regulatory,,,,2025-06-16,confirmed-violation,SRC00953,HIGH,
LGL0068,S0051,regulatory,,,,2026-01-23,ruling,SRC00932,HIGH,
LGL0069,S0051,regulatory,,,,2025-07-03,ruling,SRC00954,HIGH,
LGL0070,S0051,regulatory,,,,2026-08-14,licence,SRC00935,HIGH,
LGL0071,S0051,complaint,,,,2026-06-23,allegation,SRC00943,HIGH,
LGL0072,S0051,complaint,,,,2026-08-08,complaint,SRC00934,MEDIUM,
LGL0073,S0051,regulatory,,,,2026-08-11,allegation,SRC00955,HIGH,
LGL0074,S0051,regulatory,,,,2024-03-06,ruling,SRC00956,HIGH,
LGL0075,S0052,regulatory,,,,2021-02-25,compliance,SRC00977,HIGH,
LGL0076,S0052,regulatory,,,,2021-05-26,compliance,SRC00990,HIGH,
LGL0077,S0052,regulatory,,,,2024-01-09,compliance,SRC00991,HIGH,
LGL0078,S0052,regulatory,,,,2020-06-29,beneficiary,SRC00992,HIGH,
LGL0079,S0052,regulatory,,,,2025,impact,SRC00987,HIGH,
LGL0080,S0052,regulatory,,,,2021,investment,SRC00984,HIGH,
LGL0081,S0052,transparency,,,,2021-2024,ongoing,SRC00993,MEDIUM,
LGL0082,S0053,regulatory,,,,2025-02-19,confirmed,SRC00998,HIGH,
LGL0083,S0053,regulatory,,,,2025-01-21,confirmed,SRC00998,HIGH,
LGL0084,S0053,regulatory,,,,2024-02-28,confirmed,SRC01009,HIGH,
LGL0085,S0054,settlement,civil/criminal proceedings,,Gov dispute vs Ashneer Grover (embezzlement/GST/data-theft claims); cross-suits settled Sep 2024,2022-2024; settled 2024-09-30,settled,SRC01014,HIGH,
LGL0086,S0055,regulatory,,,,FY24-FY25,FAME subsidy received,SRC01026,MEDIUM,Subsidy reduction noted but no legal action or scrutiny reported
LGL0087,S0062,licence,,,,2024-11-05,confirmed,SRC01149,HIGH,
LGL0088,S0062,regulatory,,,,,operating under existing framework,SRC01159,HIGH,
LGL0089,S0062,regulatory,,,,,no litigation found,SRC01149,MEDIUM,
LGL0090,S0063,regulatory,,,,2025-08,confirmed-violation,SRC01177,MEDIUM,
LGL0091,S0064,regulatory,,,,2025-09-15,investigation,SRC01197,MEDIUM,
LGL0092,S0064,licence,,,,Unknown,confirmed,SRC01191,HIGH,
LGL0093,S0067,ruling,Union Government / Parliament,,"Promotion and Regulation of Online Gaming Act, 2025: blanket ban on real-money online games (fantasy, rummy, poker); up to 3 yrs jail, Rs 1 Cr fine; banks barred from servicing RMG.",Passed Aug 2025; in effect Sept 2025,in force; RMG offerings suspended,SRC01243,HIGH,
LGL0094,S0067,regulatory,,,,2025-08-01,confirmed-violation,SRC01243,HIGH,
LGL0095,S0067,regulatory,,,,2023-10-01,confirmed-violation,SRC01239,HIGH,
LGL0096,S0067,regulatory,,,,2022-01-01,ruling,SRC01238,HIGH,
LGL0097,S0067,regulatory,,,,2025-09-01,notice,SRC01231,MEDIUM,
LGL0098,S0068,regulatory,,,,2025-03,downgrade,SRC01261,HIGH,
LGL0099,S0068,regulatory,,,,2025-10,filing,SRC01260,HIGH,
LGL0100,S0068,regulatory,,,,2026-01,approval,SRC01273,MEDIUM,
LGL0101,S0068,regulatory,,,,2026,pending,SRC01260,MEDIUM,
LGL0102,S0068,complaint,,,,2026,negotiation,SRC01260,MEDIUM,
LGL0103,S0070,regulatory,,,,2024-10-18,notice,SRC01288,HIGH,
LGL0104,S0070,penalty,,,,2026-02-10,confirmed-violation,SRC01287,HIGH,
LGL0105,S0070,regulatory,,,,2024-10-21,settlement,SRC01293,HIGH,
LGL0106,S0070,complaint,,,,2024-12,allegation,SRC01305,MEDIUM,
LGL0107,S0070,regulatory,,,,2024-10-18,notice,SRC01288,HIGH,
LGL0108,S0070,penalty,,,,2026-02-10,confirmed-violation,SRC01287,HIGH,
LGL0109,S0070,complaint,,,,2024-12,allegation,SRC01305,MEDIUM,
LGL0110,S0070,regulatory,,,,2024-10-21,settlement,SRC01293,HIGH,
LGL0111,S0071,insolvency,,,,,allegation,SRC01312,LOW,CONFLICT: Tracxn CIRP flag vs company's active operations and Jul 2026 funding/IPO claims
LGL0112,S0072,regulatory,,,,2026-03-23,confirmed-violation,SRC01328,HIGH,
LGL0113,S0072,regulatory,,,,2025-11,licence_granted,SRC01352,HIGH,
LGL0114,S0072,tax_dispute,,,,2025-01-01,allegation,SRC01353,HIGH,
LGL0115,S0072,patent_dispute,,,,2019-07-24,allegation,SRC01354,MEDIUM,
LGL0116,S0072,arbitration,,,,,unknown,,LOW,User mentioned 'PayU arbitration award' but no evidence found; Amrish Rau previously worked at PayU (CEO India) before joining Pine Labs; no arbitration found
LGL0117,S0075,litigation,,,,2023-09-01,confirmed-violation,SRC01401,HIGH,
LGL0118,S0075,litigation,,,,2025-08,dismissed,SRC01401,HIGH,
LGL0119,S0075,litigation,,,,2024-12-06,pending,SRC01428,MEDIUM,
LGL0120,S0075,litigation,,,,2025-09,filed,SRC01401,HIGH,
LGL0121,S0075,regulatory,,,,2026-03-24,ruling,SRC01429,HIGH,
LGL0122,S0075,compliance,,,,,no-action,SRC01430,HIGH,
LGL0123,S0075,compliance,,,,,compliant,SRC01406,MEDIUM,
LGL0124,S0079,notice,SEBI,,SEBI-regulated Online Bond Platform Provider (OBPP) licence received 2023,2023 approval,licensed,SRC01478,,
LGL0125,S0085,regulatory,,,,2017-11,confirmed-compliance,SRC01559,HIGH,
LGL0126,S0085,regulatory,,,,2024-03-05,confirmed-compliance,SRC01564,HIGH,
LGL0127,S0085,regulatory,,,,2024-01-17,confirmed-compliance,SRC01564,HIGH,
LGL0128,S0085,regulatory,,,,2025-03-31,confirmed-compliance,SRC01537,HIGH,
LGL0129,S0085,regulatory,,,,2025-12,confirmed-compliance,SRC01565,MEDIUM,
LGL0130,S0085,regulatory,,,,2026-04-22,confirmed-compliance,SRC01539,HIGH,
LGL0131,S0090,regulatory,,,,2023-06,compliance,SRC01616,HIGH,
LGL0132,S0090,regulatory,,,,2025-07-10,certification,SRC01617,HIGH,
LGL0133,S0090,regulatory,,,,2025-01-13,certification,SRC01618,HIGH,
LGL0134,S0092,regulatory,,,,2024-10-27,notice,SRC01665,HIGH,
LGL0135,S0092,penalty,,,,2024-10,confirmed-violation,SRC01666,HIGH,
LGL0136,S0092,penalty,,,,2024-12-24,confirmed-violation,SRC01667,HIGH,
LGL0137,S0092,penalty,,,,2024-12-27,confirmed-violation,SRC01668,HIGH,
LGL0138,S0092,warning,,,,2025-01-09,notice,SRC01667,HIGH,
LGL0139,S0092,penalty,,,,2025-01-06,confirmed-violation,SRC01666,HIGH,
LGL0140,S0092,ruling,,,,2026-02,ruling,SRC01641,MEDIUM,
LGL0141,S0092,investigation,,,,2024-12,notice,SRC01667,HIGH,
LGL0142,S0098,regulatory,,,,2025-11,confirmed,SRC01769,MEDIUM,
LGL0143,S0098,licence,,,,2023-10,in-progress,SRC01770,MEDIUM,
LGL0144,S0098,regulatory,,,,UNKNOWN,confirmed,SRC01765,LOW,
LGL0145,S0100,regulatory,,,,2026-01-23,confirmed,SRC01788,HIGH,
LGL0146,S0100,regulatory,,,,2026-01-09,filed,SRC01787,LOW,MCA filing exists but details not publicly accessible without paid report
LGL0147,S0106,notice,SEBI,,DRHP (Rs 800 Cr fresh + 4.08 Cr OFS) approved; listing deferred Jun 2026 on market volatility,DRHP Jun 2025; SEBI approval ~Oct 2025,approved-then-deferred,SRC01837,MEDIUM,
LGL0148,S0106,regulatory,,,,2025-06-28,approved-then-deferred,SRC01837,HIGH,
LGL0149,S0106,regulatory,,,,2026-06-08,deferred,SRC01837,HIGH,
LGL0150,S0110,licence,,,,,confirmed-violation,SRC01915,HIGH,BIS hallmark licence displayed on website; indicates compliance with BIS Hallmarking Scheme for gold jewellery
LGL0151,S0113,ruling,Parliament of India,,Online Gaming Bill 2025 bans real-money online games; MPL suspended India RMG operations.,Aug 2025,enacted; RMG verticals suspended,SRC00738,HIGH,
LGL0152,S0118,regulatory,,,,UNKNOWN,compliant,SRC02006,MEDIUM,
LGL0153,S0119,regulatory,,,,2025-09-25,,SRC02014,MEDIUM,
LGL0154,S0119,regulatory,,,,2026-03-10,,SRC02014,MEDIUM,
LGL0155,S0119,regulatory,,,,2026-05-15,,SRC02014,MEDIUM,
LGL0156,S0119,regulatory,,,,2025-04-2025-09,delay,SRC02014,MEDIUM,
LGL0157,S0119,regulatory,,,,2026,safety regulation,SRC02023,MEDIUM,
LGL0158,S0119,complaint,,,,N/A,not found,,LOW,
LGL0159,S0127,notice,RBI (via partner banks),,RBI instructed partner banks to halt new OneCard issuance pending clarifications.,Dec 2025,New issuance halted; clarification sought (Dec 2025),SRC02117,HIGH,
LGL0160,S0134,none,,,,,no known litigation,SRC02205,MEDIUM,
LGL0161,S0135,regulatory,,,,2025-04-05,investigation,SRC02210,MEDIUM,
LGL0162,S0135,regulatory,,,,2026-03-20,ruling,SRC02217,HIGH,
LGL0163,S0135,regulatory,,,,2026,confirmed-violation,SRC02228,HIGH,
LGL0164,S0138,litigation,,,,2015-04,ongoing,SRC02258,HIGH,
LGL0165,S0138,complaint,,,,2025-04,stayed,SRC02266,HIGH,
LGL0166,S0138,notice,,,,2025-04,resolved,SRC02267,HIGH,
LGL0167,S0138,investigation,,,,,unknown,,LOW,GAP: Could not verify Karnataka/TN govt disputes from available sources
LGL0168,S0145,complaint,,,,2025-03-25,consumer_complaint,SRC02340,LOW,
LGL0169,S0145,complaint,,,,2025-09-19,consumer_complaint,SRC02341,LOW,
LGL0170,S0145,complaint,,,,2025-09-28,allegation,SRC02153,LOW,
LGL0171,S0153,licence,,,,2015-04-09,confirmed,SRC02425,HIGH,
LGL0172,S0153,regulatory,,,,2023-09-30,confirmed,SRC02425,HIGH,
LGL0173,S0154,licence,,,,Jan 2026,confirmed-violation,SRC02449,HIGH,
LGL0174,S0154,licence,,,,May 2026,confirmed-violation,SRC02450,HIGH,
LGL0175,S0154,licence,,,,Jun 2026,confirmed-violation,SRC02447,HIGH,
LGL0176,S0158,regulatory,,,,2026-06-30,filing,SRC02497,HIGH,
LGL0177,S0159,licence,,,,,confirmed-compliance,SRC02519,HIGH,
LGL0178,S0159,licence,,,,,confirmed-compliance,SRC02520,HIGH,
LGL0179,S0159,,,,,,,,HIGH,
LGL0180,S0162,litigation,,,,2025,ruling,SRC02552,MEDIUM,
LGL0181,S0163,regulatory,,,,2024-11-23,confirmed,SRC02567,LOW,
LGL0182,S0164,regulatory,,,,,compliant,SRC02574,HIGH,
LGL0183,S0197,licence,,,,2026-04-26,confirmed,SRC02795,MEDIUM,Reported in Tracxn news feed; no further details available from primary source
LGL0184,S0197,regulatory,,,,,operating_under_framework,SRC02805,MEDIUM,"Not found on RBI NBFC registered list; operates through bank partnerships (YES Bank, AU SFB, PNB) under NPCI's Credit on UPI framework"
LGL0185,S0209,regulatory_action,RBI,,RBI barred Arohan from lending Oct 2024; restrictions lifted Jan 2025,Oct 2024 - Jan 2025,Resolved,SRC02879,HIGH,
LGL0186,S0209,regulatory_action,,,,2024-10-21,notice,SRC02878,HIGH,
LGL0187,S0209,regulatory_action,,,,2025-01-03,ruling,SRC02879,HIGH,
LGL0188,S0209,rating_action,,,,2025-02-04,downgrade_then_upgrade,SRC02875,MEDIUM,
LGL0189,S0209,regulatory_compliance,,,,2024-06-03,confirmed,SRC02888,HIGH,
LGL0190,S0211,licence,,,,2024-12-13,confirmed,SRC02905,HIGH,
LGL0191,S0211,compliance,,,,FY2024-2025,confirmed,SRC02905,HIGH,
LGL0192,S0238,licence,,,,2008-10-20,confirmed-violation,SRC03128,LOW,Regulatory framework identified but no specific enforcement action found against AgroStar
LGL0193,S0238,licence,,,,,active,SRC03118,MEDIUM,Brand licensing arrangement identified from app T&C
LGL0194,S0238,licence,,,,2008-10-20,active,SRC03128,LOW,Regulatory framework identified; no enforcement action found
LGL0195,S0241,insolvency,,,,2026-09-10,under_cirp,SRC03152,MEDIUM,
LGL0196,S0241,regulatory,,,,2018-08-18,confirmed,SRC03159,HIGH,
LGL0197,S0255,licence,,,,2026-08-05,confirmed-violation,SRC03235,HIGH,
LGL0198,S0255,regulatory,,,,2025-12,investigation,SRC03251,MEDIUM,
LGL0199,S0255,regulatory,,,,2024-08-01,notice,SRC03252,MEDIUM,
LGL0200,S0258,allegation,,,,2025-05-30,allegation,,MEDIUM,No formal ED/RBI action confirmed as of 2026-09-15; VerSe states all transactions verified by Big Four auditors
LGL0201,S0258,notice,,,,2025-04-28,notice,,HIGH,Auditor opinion; not a regulatory penalty
LGL0202,S0258,complaint,,,,2025-05,investigation,,MEDIUM,US bankruptcy proceedings; VerSe not named as defendant in any confirmed ruling
LGL0203,S0278,regulatory,,,,2025-12-30,confirmed-violation,SRC03384,HIGH,
LGL0204,S0278,regulatory,,,,2026-07-06,ruling,SRC03380,HIGH,
LGL0205,S0278,regulatory,,,,2023-01-31,confirmed-violation,SRC03381,MEDIUM,
LGL0206,S0278,regulatory,,,,2026-05-20,confirmed-violation,SRC03378,HIGH,
LGL0207,S0290,licence,,,,2025-05-05,confirmed,SRC03477,HIGH,
LGL0208,S0310,regulatory,,,,2026-09-15,regulated,SRC03621,HIGH,
LGL0209,S0310,data_breach,,,,2026-09-06,investigation,SRC03622,MEDIUM,
LGL0210,S0320,regulatory,,,,2026-09-04,investigation,SRC03681,MEDIUM,
LGL0211,S0364,insolvency,NCLT Bengaluru,,NCLT Bengaluru bench admitted Log9 Materials and subsidiary Log9 for INR 6.7 Cr default,2025,Admitted,SRC03907,HIGH,
LGL0212,S0368,Incorporation,ROC Ahmedabad,,"CIN U46593GJ2023PTC146695, incorporated 05 Dec 2023. ₹16L authorized, ₹15.78L paid-up. Directors: Kashyap Prabhubhai Sojitra, Aksharkumar Vastarapara, Sagar Kakadia.",2023-12-05,Active,SRC03950,HIGH,
