product_id,startup_id,name,category,description,b2b_b2c,pricing_model,launch_date,status,source_id,confidence,notes
PRD0077,S0016,upGrad GSP (Global Study Partners),Study Abroad,"Global education marketplace providing access, expertise and services for international education. Acquired Global Study Partners (Australia, 2021).",,Service fee,2021,Active,SRC00320,HIGH,
PRD0078,S0016,upGrad Pathway,Study Abroad,Program allowing learners to start online in India and flexibly choose university or switch country for on-campus graduation.,,Program fee,2021,Active,SRC00321,HIGH,
PRD0079,S0016,upGrad KnowledgeHut,Professional Training,"Professional bootcamps and certification courses; global learner pool of 250,000+; operations in GCC.",,Course fee,2021-08,Active,SRC00314,HIGH,
PRD0080,S0016,upGrad Internshala,Internship/Placement,World's largest early-talent internship marketplace; 90% stake acquired Feb 2026 via stock swap; valued at ~Rs 100 crore.,,Platform fee,2026-02,Active,SRC00306,HIGH,
PRD0081,S0016,upGrad Excel / Free Courses,Free Learning,Free courses including Excel for Data Analysis; part of broader free course catalog on upgrad.com.,,Free,,Active,SRC00322,MEDIUM,
PRD0082,S0017,BrowserStack testing platform (21 products),Cloud testing platform,,,,,Active,SRC00334,HIGH,
PRD0083,S0017,Live,Cloud testing,Manual cross-browser testing on real browsers,,Per-seat subscription,2011,Active,SRC00345,HIGH,
PRD0084,S0017,Automate,Cloud testing,Browser automation grid for running automated website/web app tests,,Per-seat subscription,2013,Active,SRC00345,HIGH,
PRD0085,S0017,App Live,Mobile testing,Manual real-device mobile app testing,,Per-seat subscription,2017,Active,SRC00345,HIGH,
PRD0086,S0017,App Automate,Mobile testing,Real device automation cloud for mobile apps,,Per-seat subscription,2017,Active,SRC00345,HIGH,
PRD0087,S0017,Percy,Visual testing,Automated visual testing and review platform,,Per-seat subscription,2020-07,Active (acquired),SRC00336,HIGH,
PRD0088,S0017,Nightwatch.js,Test automation framework,Open-source test automation framework,,Open-source,2021-12,Active (acquired),SRC00345,HIGH,
PRD0089,S0017,Bird Eats Bug / Bug Capture,Bug detection,Bug reporting and debugging platform,,SaaS,2024-08,Active (acquired),SRC00338,HIGH,
PRD0090,S0017,Requestly,HTTP interception/mocking,Open-source HTTP interception and API mocking tool,,Open-source + enterprise,2025-05,Active (acquired),SRC00337,HIGH,
PRD0091,S0017,Low Code Automation,Test management,Automation without coding,,Per-seat subscription,2024,Active,SRC00345,HIGH,
PRD0092,S0017,Test Management,Test management,Unify and track all test cases,,Per-seat subscription,2024,Active,SRC00345,HIGH,
PRD0093,S0017,Accessibility Testing,Accessibility,WCAG & ADA compliance testing,,Per-seat subscription,2024,Active,SRC00345,HIGH,
PRD0094,S0017,BrowserStack AI,AI testing,"Suite of AI agents for test creation, execution, self-healing",,Per-seat subscription,2025-06,Active,SRC00345,HIGH,
PRD0095,S0017,Test Companion,AI testing,Agentic AI for test automation built into IDE,,Per-seat subscription,2025,Active,SRC00337,MEDIUM,
PRD0096,S0017,Website Scanner,Testing toolkit,All-in-one website checker,,Per-seat subscription,2025,Active,SRC00345,HIGH,
PRD0097,S0017,Testing Toolkit,Testing toolkit,Essential manual testing tools,,Per-seat subscription,2025,Active,SRC00345,HIGH,
PRD0098,S0017,Custom Device Lab,Testing infrastructure,Tailored test environments,,Enterprise,2025,Active,SRC00345,HIGH,
PRD0099,S0017,Load Testing,Testing,Browser & API load testing,,Per-seat subscription,2025,Active,SRC00345,HIGH,
PRD0100,S0018,Dhan,stock broking app,,,,,,,HIGH,
PRD0101,S0018,Option Trader app,options trading app,,,,,,,HIGH,
PRD0102,S0018,DhanHQ API,developer API,,,,,,,HIGH,
PRD0103,S0018,ScanX,markets research,,,,,,,MEDIUM,
PRD0104,S0018,Fuzz (askfuzz.ai),AI investing assistant,,,,,,,MEDIUM,
PRD0105,S0018,Dhan App,stock broking app,"Stock market app for buying/selling equity, futures, options, commodity, currenc",,discount brokerage,2021-11,active,SRC00358,HIGH,
PRD0106,S0018,Dhan Web,web trading platform,Web trading platform for desktop traders,,discount brokerage,2021-11,active,SRC00360,HIGH,
PRD0107,S0018,Options Trader App,options trading app,Dedicated option trading app built for India's F&O traders,,discount brokerage,,active,SRC00358,HIGH,
PRD0108,S0018,Options Trader Web,options trading web,"Web option trading platform for building, analyzing, and executing F&O trades",,discount brokerage,,active,SRC00360,HIGH,
PRD0109,S0018,DhanHQ Trading APIs,developer API,"Free trading APIs for algo trading, app connectivity, and service building; cove",,free,,active,SRC00359,HIGH,
PRD0110,S0018,TradingView on Dhan,charts partner,Free TradingView chart features on tv.dhan.co; Connect to TradingView integratio,,free (bundled),,active,SRC00360,HIGH,
PRD0111,S0018,smallcases on Dhan,investment product,Smallcase investment platform integrated on Dhan,,free,,active,SRC00360,HIGH,
PRD0112,S0018,Margin Trading Facility (MTF),leverage product,4X leverage on 1700+ stocks; MTF book Rs 505 Cr at end of FY26,,interest-based,,active,SRC00360,HIGH,
PRD0113,S0018,ScanX Stock Screener,markets research,"50+ readymade screeners, live market insights, instant trade execution",,free,,active,SRC00360,HIGH,
PRD0114,S0018,SLBM (Stock Lending and Borrowing),income product,Rent stocks via SLBM; earn up to 35% p.a. over portfolio holdings,,revenue share,,active,SRC00360,HIGH,
PRD0115,S0018,Gold Vault,investment product,"Buy gold & silver at live MCX prices, store securely at vault, doorstep delivery",,transaction-based,,active,SRC00360,HIGH,
PRD0116,S0018,US Stocks,investment product,Invest in US stocks directly from India; fractional investing from $1,,transaction-based,,active,SRC00360,HIGH,
PRD0117,S0018,Fuzz (askfuzz.ai),AI investing assistant,AI-powered financial research assistant; trained on large-scale financial datase,,free,,active,SRC00352,MEDIUM,
PRD0118,S0018,Artham,AI model,In-house small language model powering Askfuzz AI; helps users analyze market in,,free,,active,SRC00355,MEDIUM,
PRD0119,S0018,DEXT T3,trading terminal,Desktop trading terminal for active traders; launched early 2026,,free,2026-01,active,SRC00355,MEDIUM,
PRD0120,S0018,Upsurge,learning platform,Platform for learning about financial markets,,free,,active,SRC00352,MEDIUM,
PRD0121,S0018,Filter Coffee,media content,Bite-sized media content for Gen Z and millennials,,free,2025-01,active,SRC00357,MEDIUM,
PRD0122,S0019,PharmEasy medicine delivery,e-pharmacy,,,,,,,MEDIUM,
PRD0123,S0019,Thyrocare (subsidiary),diagnostics,,,,,,,MEDIUM,
PRD0124,S0020,EMI-on-UPI (no credit card required),EMI payments platform,,,,,,,HIGH,
PRD0125,S0021,Stocks/IPO/F&O/commodities/currency trading,brokerage,,,,,,,HIGH,
PRD0126,S0021,"Fixed deposits, P2P lending, govt bonds, NCDs, gold, insurance",wealth,,,,,,,MEDIUM,
PRD0127,S0021,Upstox Pro,trading_app,"Flagship trading app with real-time market data, advanced charting, one-click order placement, technical analysis tools",,Flat Rs 20 per F&O trade; zero brokerage on equity delivery,,active,SRC00438,HIGH,
PRD0128,S0021,Equity/IPO/F&O/Commodities/Currencies trading,brokerage,Core discount broking across multiple segments,,Flat-fee discount broking,2012,active,SRC00431,HIGH,
PRD0129,S0021,Mutual Funds / SIP platform,wealth,SIP platform with 35% volume growth in FY26,,Direct mutual fund investing,,active,SRC00431,HIGH,
PRD0130,S0021,Insurance distribution,insurance,"Insurance distribution entered May 2024; early stage, no meaningful revenue yet",,Distribution commissions,2024-05,active,SRC00431,HIGH,
PRD0131,S0021,Algo trading for retail,trading_tool,SEBI-approved algo trading for retail investors from April 2026; Upstox building backend infrastructure,,,2026-04,in_development,SRC00431,MEDIUM,
PRD0132,S0021,NBFC lending,lending,"Applied for NBFC license; long-term option, not urgent growth lever",,,,application_pending,SRC00431,MEDIUM,
PRD0133,S0021,AMC (Asset Management),asset_management,Applied for AMC license; exploring revenue streams,,,,application_pending,SRC00431,MEDIUM,
PRD0134,S0022,udaan eB2B platform,B2B marketplace,"FMCG, staples, F&V, pharma wholesale procurement + logistics",,,,live,SRC00452,,
PRD0135,S0022,udaanCapital,fintech,Working-capital credit for retailers/distributors,,,,live,SRC00452,,
PRD0136,S0022,horeca360,HoReCa,"Food-service supply vertical, expanded to Hyderabad 2026",,,,live,SRC00454,,
PRD0137,S0023,Motor insurance,motor insurance,"Car, bike insurance; renewals, claims filing/tracking",,,,active,,,
PRD0138,S0023,Health & Life insurance,health insurance,Retail + corporate/group health; life arm shifted to pure term-only model (Nov 2025),,,,active,,,
PRD0139,S0023,Travel insurance,travel insurance,Travel cover incl. group travel,,,,active,,,
PRD0140,S0024,CoinSwitch app,crypto exchange,"Spot, futures, SIP, trading bots on 100+ assets",,,,live,SRC00472,,
PRD0141,S0024,Lemonn,wealthtech,"Stocks, mutual funds, IPOs",,,,live,SRC00475,,
PRD0142,S0024,DigiVault,custody,HNI/institutional crypto custody,,,,live,SRC00485,,
PRD0143,S0025,Cult fitness services,fitness services,"Cultpass, Cult Elite/Neo centres, at-home workouts",,,,live,SRC00490,,
PRD0144,S0025,Cultsport,D2C,"Apparel, footwear, equipment, recovery products",,,,live,SRC00490,,
PRD0145,S0026,"Fireflies.ai meeting assistant (record/transcribe/summarize/action items, CRM integrations)",,,,,,,,HIGH,
PRD0146,S0027,Hasura GraphQL Engine + Hasura Cloud (instant GraphQL APIs over Postgres/existing DBs),,,,,,,,HIGH,
PRD0147,S0028,Icertis Contract Intelligence (ICI) + Icertis Vera AI agents,,,,,,,,HIGH,
PRD0148,S0029,LeadSquared sales execution + marketing automation + field-force platform,,,,,,,,HIGH,
PRD0149,S0029,LeadSquared CRM Platform,CRM / Sales Execution,"End-to-end sales execution platform capturing leads from channels automatically, managing and transferring to right teams; zero lead leakage",,SUBSCRIPTION,2013,active,SRC00570,HIGH,
PRD0150,S0029,Marketing Automation,Marketing Cloud,"Marketing automation and lead management tools for capturing, nurturing, and converting leads",,SUBSCRIPTION,2013,active,SRC00570,HIGH,
PRD0151,S0029,Field Force Management,Field Operations,"Field sales management including verifications, collections, and vendor onboarding for feet-on-street teams",,SUBSCRIPTION,2013,active,SRC00569,HIGH,
PRD0152,S0029,Sales Performance Analytics,Analytics,Product released to provide sales performance analytics and insights,,SUBSCRIPTION,2021-2022,active,SRC00570,MEDIUM,
PRD0153,S0029,No-Code Workflow Builder,Developer Tools,No-code workflow builder and developer platform for customizing automation,,SUBSCRIPTION,2021-2022,active,SRC00570,MEDIUM,
PRD0154,S0029,Application Processing Digitization Suite,Vertical Tools,Suite of tools to digitize application processing for finance and education sectors,,SUBSCRIPTION,2021-2022,active,SRC00570,MEDIUM,
PRD0155,S0030,MoEngage Platform + Merlin AI,customer engagement platform,Insights-led cross-channel engagement + Merlin AI agents (offer/campaign decisioning),,,,active,SRC00582,,
PRD0156,S0031,Moneyview App,digital personal loans (flagship since 2017),"Personal/home loans, credit cards, credit score, insurance, digital gold, UPI, earned-wage access",,,,active,,,
PRD0157,S0032,Mu Sigma Decision Sciences platform,decision sciences / analytics services,"Decision support systems, marketing/risk/supply-chain analytics, agentic AI playbooks",,,,active,,,
PRD0158,S0032,Akashic Architecture,decision intelligence platform,"Foundation for continuous enterprise intelligence where data flows, models evolve, systems self-improve, and decisions accelerate",,enterprise subscription,,active,SRC00599,HIGH,
PRD0159,S0032,Enablers of Confidence (EoC),decision science canvas,Canvas for decision scientists and business practitioners to explore problems and expedite solution generation,,enterprise subscription,,active,SRC00599,HIGH,
PRD0160,S0032,muTalos,Agentic AI ecosystem,"Agentic AI ecosystem models, critiques, and optimizes decisions to transform enterprise intelligence into action",,enterprise subscription,,active,SRC00599,HIGH,
PRD0161,S0032,muAoPS (Enquiry Engine),Decision OS,"Decision OS, a structured programmatic system for scaling faster, smarter decisions across the enterprise",,enterprise subscription,,active,SRC00599,HIGH,
PRD0162,S0032,Continuous Service as a Software (CSaaS),service model,Mu Sigma model matching rising complexity and dynamic markets by pairing service with software at scale,,enterprise subscription,,active,SRC00599,HIGH,
PRD0163,S0032,The Art of Problem Solving System,methodology/framework,"Fuses Math, Business, Technology, and Design Thinking to navigate complexity, solve problems, and enable decisions",,enterprise subscription,,active,SRC00599,HIGH,
PRD0164,S0032,muUniverse,context/memory platform,A field of context for memory in complex organizations,,,,active,SRC00599,MEDIUM,
PRD0165,S0033,Driver-i,AI dashcam + fleet safety telematics,"Driver-i: dual cameras, edge AI, 99% accuracy behavior analysis, DriverStars rewards, compliance/claims tools",,,,active,,,
PRD0166,S0034,Postman API Platform,API lifecycle platform,"Design, test, document, monitor, collaborate on APIs; 100K+ public APIs network",,,,active,,,
PRD0167,S0034,API Client,API development tool,"Comprehensive API client with multi-protocol support, built-in auth, response visualization",,freemium,,active,SRC00618,HIGH,
PRD0168,S0034,API Design,API design tool,"Spec Hub, Mock Servers, API definition creation, schema documentation preview",,freemium,,active,SRC00618,HIGH,
PRD0169,S0034,Flows,API collaboration,Workflow automation within API collaboration; part of API collaboration suite,,freemium,,active,SRC00618,HIGH,
PRD0170,S0034,Mock Servers,API testing,Mock server functionality for API testing and development,,freemium,,active,SRC00618,HIGH,
PRD0171,S0034,Postman.ai,AI-powered API development,"AI-supported workflows, AI-generated documentation, AI-generated tests, AI Engineer agent mode",,enterprise,2024,active,SRC00621,MEDIUM,Postman.ai introduced; blog mentions 'Introducing Postman.ai' and AI Engineer
PRD0172,S0034,MCP Server,AI integration,Postman MCP server and MCP catalog of external MCP servers for AI agent compatibility,,enterprise,2025,active,SRC00618,MEDIUM,Mentioned on products page under AI section
PRD0173,S0034,Postman Vault,API security,Secret management and encrypted vault for API credentials,,enterprise,,active,SRC00618,HIGH,
PRD0174,S0034,Postman Console,API monitoring,"Monitor summary dashboard, API traffic insights",,freemium,,active,SRC00618,HIGH,
PRD0175,S0035,Tachyon,credit processing platform,"Credit processing platform for banks providing credit card issuance, core payments, BNPL loans, fraud and risk, and rewards with managed services",,enterprise SaaS,,live,SRC00627,HIGH,
PRD0176,S0035,Digital Credit as a Service (DCaaS),lending platform,"Fully managed, ready-to-deploy solution for banks to launch credit products on NPCI's Credit Line on UPI (CLOU) scheme; includes origination, processing, lifecycle management, digital experiences, and data analytics",,enterprise SaaS + managed services,2024-05-10,live,SRC00633,HIGH,
PRD0177,S0035,Fusion,API-based PaaS,API-based PaaS for fintech business,,API-based,,live,SRC00642,MEDIUM,
PRD0178,S0035,Cipher,authentication platform,ACS (Access Control Server) platform for payment authentication; processes 1M+ transactions per second,,enterprise,,live,SRC00642,MEDIUM,
PRD0179,S0035,Optima,employee benefits,Unified corporate dashboard to disburse employee tax benefits,,enterprise SaaS,,live,SRC00642,MEDIUM,
PRD0180,S0035,Spotlight,digital gifting,Digital gifting solution for employee recognition and rewards,,enterprise SaaS,,live,SRC00642,MEDIUM,
PRD0181,S0035,Express,corporate cafeteria,Corporate cashless cafeteria solution,,enterprise SaaS,,live,SRC00642,MEDIUM,
PRD0182,S0035,Neutrino,digital experiences,Digital banking experience platform,,enterprise,,live,SRC00626,MEDIUM,
PRD0183,S0035,Elena,conversational AI,Conversational AI suite for omnichannel customer servicing,,enterprise,,live,SRC00626,MEDIUM,
PRD0184,S0035,Saturn,servicing,Servicing platform,,enterprise,,live,SRC00626,MEDIUM,
PRD0185,S0035,Luminos,engagement,Engagement platform,,enterprise,,live,SRC00626,MEDIUM,
PRD0186,S0035,Zeus,data suite,Data analytics suite,,enterprise,,live,SRC00626,MEDIUM,
