startup_id,company_name,primary_sector,company_stage,city,state,founding_year,age_years,completeness_pct,notes
S0096,Leap (LeapScholar),edtech study-abroad,late (Series E),Bengaluru,Karnataka,2019,7,89.6,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0097,Nazara Technologies,gaming diversified,listed,Mumbai,Maharashtra,1999,27,50.0,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0098,Neo (Neo Wealth),wealthtech / financial services,growth (Series C / PE-backed),Mumbai,Maharashtra,2021,5,95.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0099,Stellapps,agritech (dairy tech),late (Series C),Bengaluru,Karnataka,2011,15,45.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0100,Purple Style Labs,D2C luxury fashion / fashion-tech,public (IPO Sep 2026; Series E prior),Mumbai,Maharashtra,2015,11,93.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0101,Zypp Electric,EV fleet / logistics tech,"late (Series C, pre-IPO)",Gurugram,Haryana,2017,9,50.0,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0102,Business Nextgen Finance,fintech / NBFC,seed/first institutional (RBI CoR Sep 2025),Mumbai,Maharashtra,2025,1,41.7,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0103,EtherealX (Ethereal Exploration),spacetech launch,Series A,Bengaluru,Karnataka,2022,4,56.2,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0104,QNu Labs,cybersecurity / quantum,Series A,Bengaluru,Karnataka,2016,10,89.6,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0105,Ultraviolette,ev motorcycles,Series E,Bengaluru,Karnataka,2016,10,56.2,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0106,Curefoods,foodtech cloud kitchen,late (Series D + DRHP filed; IPO deferred),Bengaluru,Karnataka,2020,6,87.5,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0107,Dezerv,wealthtech,Series C,Mumbai,Maharashtra,2021,5,56.2,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0108,Edubuk,edtech / HR-tech (AI + blockchain credentials),Series B,Bengaluru,Karnataka,2019,7,81.2,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0109,EloElo,gaming livestream / social entertainment / micro-drama,Series B,Bengaluru,Karnataka,2020,6,89.6,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0110,GIVA,D2C jewellery,Series C (extended),Bengaluru,Karnataka,2019,7,87.5,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0111,Impetus Technologies,enterprise / data & AI services,growth/private (PE-backed),Bengaluru,Karnataka,1991,35,37.5,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0112,Moglix,B2B e-commerce / industrial supply chain,Unicorn (Series F),Noida,Uttar Pradesh,2015,11,75.0,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0113,MPL (Mobile Premier League),gaming / esports,unicorn (late-stage),Bengaluru,Karnataka,2018,8,39.6,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0114,PhysicsWallah,EdTech,Public / Listed,Noida,Uttar Pradesh,2020,6,56.2,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0115,Popo Global,FoodTech / QSR,Growth / Late Stage,Bengaluru,Karnataka,2017,9,47.9,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0116,Shadowfax,Logistics,Public / Listed,Bengaluru,Karnataka,2015,11,60.4,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0117,Smallcase,WealthTech,Late Stage / Series D,Bengaluru,Karnataka,,,62.5,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0118,StockGro,WealthTech / Investment Tech,Growth / Series B,Bengaluru,Karnataka,,,95.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0119,Yulu,Mobility / EV,Series C,Bengaluru,Karnataka,,,95.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0120,Zenoti,Beauty-Tech SaaS,Series D / PE-backed,Hyderabad,Telangana,2010,16,91.7,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0121,Exxat,EdTech / Healthcare Education SaaS,Series C / PE-backed,Bengaluru,Karnataka,2011,15,45.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0122,Bellatrix Aerospace,Spacetech Propulsion,Pre-Series B,Bengaluru,Karnataka,2015,11,50.0,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0123,Foxtale,D2C Beauty / Skincare,Series C,Mumbai,Maharashtra,2021,5,87.5,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0124,GalaxEye,spacetech EO,Series A (extended),Bengaluru,Karnataka,2021,5,37.5,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0125,HerSpace Manufacturing,proptech / workforce housing,Growth (committed capital),Bengaluru,Karnataka,2023,3,77.1,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0126,Snitch,D2C fashion,Series B,Bengaluru,Karnataka,2018,8,87.5,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0127,OneCard (FPL Technologies),fintech/credit cards,Series D (ongoing),Pune,Maharashtra,2019,7,39.6,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0128,Rezolv,fintech,Series A,Mumbai,Maharashtra,2024,2,89.6,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0129,JustAI,ai marketing saas,Series A,San Francisco,"California, USA",2024,2,37.5,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0130,BGauss,ev two-wheeler,Series D (late stage),Mumbai,Maharashtra,2020,6,89.6,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0131,Emo Energy,ev battery fast-charge,pre-Series B,Bengaluru,Karnataka,2022,4,45.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0132,Baaz Bikes,ev mobility,Series A,Delhi NCR,,,,22.9,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0133,Piston,fintech / payments,Series A,Bengaluru,,,,25.0,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0134,Chargebee,saas/billing,Late-stage (Series H),Chennai,Tamil Nadu,2011,15,91.7,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0135,Delhivery,logistics,"Listed (NSE/BSE: DELHIVERY, since 24 May 2022)",Gurugram,Haryana,2011,15,93.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0136,Erisha E Mobility,auto/ev,Series D,Delhi NCR,Delhi,2022,4,37.5,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0137,Freshworks,saas,"Listed (Nasdaq: FRSH, since Sep 2021)",Chennai,Tamil Nadu,2010,16,45.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0138,OYO,hospitality/travel-tech,"Pre-IPO (SEBI-approved; UDRHP filed, Rs 6,650 Cr fresh issue)",Gurugram,Haryana,2013,13,93.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0139,Policybazaar,Insurtech / Fintech,Public (Listed),Gurugram,Haryana,2008,18,50.0,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0140,Uniphore,Conversational AI / Enterprise AI,Private (Unicorn),Chennai / Palo Alto,,2008,18,50.0,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0141,Urban Company,Home Services / Hyperlocal,Public (Listed),Gurugram,Haryana,2014,12,41.7,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0142,Zomato,FoodTech / Quick Commerce,Public (Listed),Gurugram,Haryana,2008,18,50.0,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0143,Emversity,EdTech / Workforce Skilling,Private (Series A),Bengaluru,Karnataka,2023,3,50.0,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0144,KGeN (Kratos Gamer Network),gaming/web3 distribution protocol,Series A (strategic round Sep 2025),Bengaluru,Karnataka,2022,4,87.5,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0145,Seekho,edtech short-form,Series B,Bengaluru,Karnataka,2020,6,89.6,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0146,Avammune Therapeutics,biotech therapeutics,Series A,Bengaluru,Karnataka,2020,6,70.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0147,HexaHealth,healthtech surgical care,Series A,Gurugram,Haryana,2021,5,43.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0148,Escape Plan (travel gear),d2c travel,Series A,Bengaluru,Karnataka,2025,1,87.5,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0149,Lendingkart,fintech/sme lending,Late Stage (Series E),Ahmedabad,Gujarat,2014,12,50.0,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0150,PB Healthcare,healthtech | healthtech integrated care,Seed,Gurugram,Haryana,2025,1,47.9,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0151,Augnito,healthtech ai scribe,Series A,Mumbai,Maharashtra,2022,4,45.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0152,C2i Semiconductors,semiconductor power,Series A (acquired by Infineon),Bengaluru,Karnataka,2024,2,47.9,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0153,CynLr,robotics vision,Series A,Bengaluru,Karnataka,2019,7,95.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0154,Skydo,fintech cross-border payments,Series A,Bengaluru,Karnataka,,,95.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0155,Smart Joules,climate energy efficiency,Series B,Delhi,,,,52.1,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0156,VerveSemi (Vervesemi),semiconductor motor control,Series A,Greater Noida,,,,89.6,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0157,Butterfly Learnings,healthtech,Pre-Series B,Mumbai,Maharashtra,,,91.7,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0158,Sugar Cosmetics,d2c beauty,Series D7,Mumbai,Maharashtra,2015,11,93.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0159,Graas.ai (Graas),ai ecommerce growth,Series B,Bengaluru,Karnataka,2022,4,91.7,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0160,Beepkart,used two-wheelers,,Bengaluru,Karnataka,2020,6,8.3,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0161,Agrani Labs,semiconductor ai gpu,Seed,Bengaluru,Karnataka,,,72.9,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0162,Mokobara,d2c travel goods,Series C,Bengaluru,Karnataka,2019,7,81.2,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0163,XpressBees,logistics,Late / Unicorn,Pune,Maharashtra,2015,11,85.4,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0164,Fundly.ai,fintech / B2B pharma,early (Series A/B),Mumbai,Maharashtra,2021,5,83.3,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0165,Mitigata,cybersecurity,Series B,Bengaluru,Karnataka,2023,3,83.3,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0166,Refold AI,AI devtools,seed,Bengaluru,,2023,3,27.1,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0167,RentoMojo,furniture rental / consumer services,IPO,Bengaluru,Karnataka,2014,12,79.2,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0168,Blinkit,quick commerce,mature / subsidiary,Gurugram,Haryana,,,35.4,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
