investor_id,name,type,geography,companies_backed,rounds_participated,sectors,stages,cities,lead_investments,portfolio_notes
INV0029,Tiger Global,growth,USA,29,95,AI / conversational SaaS; B2B construction materials; B2B e-commerce / industrial supply chain; B2B supply-chain commerce / fintech; Horizontal ecommerce / social commerce; SaaS/customer engagement; agritech supply chain; crypto/fintech; edtech; ev battery swapping; fintech; fintech / checkout; fintech / digital banking; fintech / digital lending; fintech infra; fintech payments; fintech payments/lending; fintech wealthtech; fintech/broking; foodtech cloud kitchen; gaming (real-money skill gaming); gaming/fantasy sports; healthtech saas/ai; hr-tech/jobs; logistics; proptech; saas; saas/billing; social media,; Oxyzo Series A; Secondary; Seed; Series B; Series C; Series C (extension tranche; part of ~$200M round context); Series D; Series D-II; Series D-II (Later Stage VC); Series E; Series E (reported Oct 2021); Series E (tranche 1); Series F; Series F extension; Series G; Series H; Total funding; Venture round (unicorn); growth/secondary; growth/secondary mix,"Bengaluru; Bengaluru, Karnataka; Chennai; Gurugram; Mumbai; New Delhi; Noida; Thane",12,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0030,Microsoft,CVC-corporate,"Redmond, US",4,9,HR-tech SaaS; fintech payments; hospitality/travel-tech; media (Josh/Dailyhunt),; Series G; Series I; growth/secondary; growth/secondary mix,Bengaluru; Gurugram; Hyderabad,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0031,Ribbit,,,2,3,fintech payments; fintech payments/lending,Series E; growth/secondary; growth/secondary mix,Bengaluru; New Delhi,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0032,Walmart (WM Digital Commerce Holdings),CVC-corporate,,1,1,fintech payments,,Bengaluru,1,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0033,Lone Pine Capital,Hedge Fund,,4,10,FoodTech / Quick Commerce; fintech; fintech infra; fintech wealthtech,; Pre-IPO; Series D; Series E; Series F,Bengaluru; Gurugram; Noida,1,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0034,Alkeon Capital,,,2,4,enterprise tech / events; fintech infra,; Series B; Series F,Ahmedabad; Bengaluru,1,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0035,TCV,VC,"Menlo Park, USA",3,5,HR-tech SaaS; fintech infra; gaming/fantasy sports,; Secondary; Series F,Bengaluru; Hyderabad; Mumbai,1,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0036,GIC,Sovereign/Govt,Singapore,10,24,FoodTech / Quick Commerce; Insurtech / Fintech; ecommerce; ev commercial; fintech; fintech infra; fintech wealthtech; gaming diversified; logistics; spacetech launch,; IPO; Post-IPO; Series C; Series D; Series E; Series F; Series H; pre-Series C (second); primary,Bengaluru; Delhi; Gurugram; Hyderabad; Mumbai,4,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0037,Peak XV Partners,VC,"Bengaluru, India",29,106,AI / LLMs / sovereign models; HR-tech SaaS; SaaS/customer engagement; WealthTech; Wealthtech / Mutual Fund Advisory; ai marketing saas; auto marketplace; auto marketplace | used cars; b2b manufacturing; d2c travel goods; edtech; edtech study-abroad; fintech; fintech / digital banking; fintech infra; fintech/credit cards; fintech/trade finance; foodtech/cloud kitchen; healthtech (elective surgery chain); healthtech / femtech D2C wellness; healthtech pharmacy; hr-tech/jobs; logistics; martech / ai; semiconductor ai gpu; semiconductor power; spacetech ssa; travel-tech / visas; wealthtech / financial services,; CPEF (Conflict/Unverified); Later-stage (negotiations); Seed; Seed (disclosed within $41M announcement); Series A; Series A ($41M total incl. seed); Series A (extension); Series A (ongoing/negotiating); Series A1; Series B; Series B first close (of $300M); Series C; Series C (primary tranche); Series C (total); Series C (tranche 2); Series D; Series D extension (Rs 72 Cr); Series D tranche; Series E; Series E extension; Series F; Series H; growth,Bengaluru; Delhi NCR; Gurugram; Hyderabad; Jaipur; Mumbai; Noida; Pune; San Francisco,9,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0038,Y Combinator,Accelerator/Micro-VC,"Mountain View, USA",8,23,AI dev-tools / vibe-coding; Horizontal ecommerce / social commerce; ai marketing saas; fintech infra; fintech wealthtech; fintech/trade finance; healthtech diagnostics; quick commerce,; Seed; Series A; Series C; Series D; Series F; seed; venture,"Bengaluru; Bengaluru, Karnataka; Mumbai; San Francisco",1,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0039,Ribbit Capital,VC,"Palo Alto, USA",5,13,crypto/fintech; fintech / digital lending; fintech infra; fintech payments/lending; fintech wealthtech,; Series A; Series C; Series D; Series E,Bengaluru; New Delhi,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0040,Peak XV Partners (Sequoia India),VC,"Bengaluru, India",7,7,crypto/fintech; fintech; fintech infra; fintech payments/lending; foodtech/cloud kitchen; healthtech (elective surgery chain); hospitality/travel-tech,,Bengaluru; Gurugram; Mumbai; New Delhi,3,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0041,California Public Employees' Retirement System (CalPERS),,,1,1,quick commerce,pre-IPO,Mumbai,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0042,General Catalyst,VC,US,4,14,WealthTech / Investment Tech; defence drones; healthtech | healthtech integrated care; quick commerce,; Seed; Series A; Series D; pre-IPO; series_b,Bengaluru; Gurugram; Mumbai; Noida,2,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0043,CalPERS,pension_fund,"California, US",2,5,climate renewables; quick commerce,; pre-IPO; private_equity,Mumbai; Noida,2,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0044,Avenir,,,1,3,quick commerce,Series C; Series D; pre-IPO,Mumbai,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0045,Glade Brook,VC,UNKNOWN,1,2,quick commerce,Series D; pre-IPO,Mumbai,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0046,Lightspeed,VC,"Bengaluru, India",15,42,AI / LLMs / sovereign models; AI dev-tools / vibe-coding; Aerospace / drone logistics; HR-tech SaaS; b2b manufacturing; edtech ai tutor; fintech (housing finance); healthtech / AI diagnostics; hospitality/travel-tech; hr-tech/jobs; insurtech; quick commerce; social media; spacetech; wealthtech,; Convertible Note; Growth equity; Seed; Seed (disclosed within $41M announcement); Series A; Series A ($41M total incl. seed); Series B; Series C; Series D; Series F; Series G; debt/convertible; pre-IPO; pre-Series A,Bengaluru; Gurugram; Hyderabad; Mumbai,4,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0047,StepStone Group,,,1,5,quick commerce,; Series C; Series D; pre-IPO,Mumbai,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0048,Nexus Venture Partners,VC,India,16,67,AI cloud infrastructure; B2B construction materials; B2B ecommerce (food & grocery); D2C footwear; Mobility / road transport tech (bike taxi-led multimodal); SaaS (PSA / onboarding); SaaS / API platform (GraphQL); ai agents; cybersecurity; fintech / credit cards; fintech / digital lending; gaming/web3 distribution protocol; healthtech / wearables; logistics; quick commerce; saas/api dev,; Growth equity; Secondary; Seed; Seed/Series A; Series A; Series B; Series C; Series D; Series E-II; pre-IPO,"Bengaluru; Bengaluru, Karnataka; Chennai; Gurugram; Mumbai; Thane",2,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0049,unspecified private-placement investors,,,1,1,quick commerce,pre-IPO placement,Mumbai,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0050,Glade Brook Capital Partners,VC,UNKNOWN,2,4,media (Josh/Dailyhunt); quick commerce,Series B; Series H,Bengaluru; Mumbai,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0051,unknown,Unknown,Unknown,7,12,Conversational AI / Enterprise AI; edtech study-abroad; fintech/lending; quick commerce; robotics humanoid; robotics marine; spacetech launch,Series A; Series C; Series D; Series E; funding; pre-seed,Bengaluru; Chennai; Chennai / Palo Alto; Kochi; Kolkata; Mumbai,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0052,domestic investors,,,1,2,quick commerce,Series F,Mumbai,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0053,Matrix Partners India,VC,"Bengaluru, India",6,8,AI / AI cloud infrastructure; AI cloud infrastructure; B2B supply-chain commerce / fintech; SaaS / customer engagement; edtech SaaS; media (Josh/Dailyhunt),; Debt; Oxyzo Series A; Seed; Series B (first equity round); Series E,Bengaluru; Gurugram; Mumbai,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0054,NTTVC,CVC-corporate,"Tokyo, Japan",1,5,AI cloud infrastructure,; Seed; Series A,Mumbai,1,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0055,Matrix Partners India (now Z47),VC,"Bengaluru, India",1,1,AI cloud infrastructure,Seed,Mumbai,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0056,Z47,VC,"Mumbai, India",7,25,AI cloud infrastructure; B2B supply-chain commerce / fintech; D2C Beauty / Skincare; EdTech / Workforce Skilling; edtech SaaS; fintech/credit cards; wealthtech,; Pre-Series A; Seed; Series A; Series B; Series C; Series D; Series D tranche; Series F; later-stage vc,Bengaluru; Gurugram; Mumbai; Pune,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0057,Blackstone,PE,"New York, US",2,7,AI cloud infrastructure; logistics,; Growth equity; Series F; Series G; Total disclosed (Tracxn),Mumbai; Pune,1,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0058,Teachers' Venture Growth,PE,"Toronto, Canada",1,2,AI cloud infrastructure,; Growth equity,Mumbai,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0059,TVS Capital,VC,"Chennai, India",3,7,AI cloud infrastructure; Wealth Management / Fintech; wealthtech / financial services,; Growth equity; PE growth; Series B,Mumbai,1,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0060,360 ONE Asset,PE,"Mumbai, India",5,17,AI cloud infrastructure; D2C fashion; aviation; healthtech / AI diagnostics; spacetech ssa,; Growth equity; Series B; Series B (close confirmation); Series D; growth-equity,Bengaluru; Mumbai,2,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0061,Z47 (fka Matrix Partners India),VC,"Mumbai, India",1,1,AI cloud infrastructure,,Mumbai,1,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0063,Norwest Venture Partners,VC,,5,11,B2B supply-chain commerce / fintech; Beauty-Tech SaaS; SaaS / Customer Loyalty; fintech lending; media-tech SaaS,; Oxyzo Series A; Series B; Series C; Series D,Bengaluru; Gurugram; Hyderabad; Pune,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0064,Falcon Edge,VC,UNKNOWN,2,3,fintech; gaming/fantasy sports,Secondary; Series E (reported Oct 2021),Bengaluru; Mumbai,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0065,Sofina,,,4,8,D2C jewellery; fintech; media (Josh/Dailyhunt),PE Growth (rumor); Series A; Series B; Series C; Series F,Bengaluru; Noida,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0066,Alpha Wave Global,Investment Firm,"New York, USA",8,27,B2B e-commerce / industrial supply chain; B2B supply-chain commerce / fintech; Insurtech / Fintech; auto marketplace | used cars; ecommerce/eyewear; fintech; healthtech / wearables,; Oxyzo Series A; Series B; Series C; Series D; Series E; Series F; Series G; Series H; Series I,Bengaluru; Gurugram; Noida,1,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0067,Dragoneer,VC,UNKNOWN,2,3,fintech; fintech payments/lending,; Series E; Series F,Bengaluru; New Delhi,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0068,Technology Crossover Ventures (TCV),,,1,2,HR-tech SaaS,Series D,Hyderabad,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0069,Partners Group,PE,"Baar, Switzerland",1,3,HR-tech SaaS,; growth,Hyderabad,1,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0070,KKR,PE,"New York, USA",6,14,HR-tech SaaS; Home interiors marketplace; Renewable Energy / IPP; foodtech/cloud kitchen; supply chain / pallets,; Equity/Debt; Planned InvIT; Secondary; Series F; Series F (second tranche); growth,Bengaluru; Gurugram; Hyderabad; Mumbai,5,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0071,Gravity Holdings,,,1,1,HR-tech SaaS,growth,Hyderabad,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0072,Teachers' Venture Growth (OTPP),PE,"Toronto, Canada",1,3,HR-tech SaaS,; growth,Hyderabad,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0073,Together Fund,,,2,5,AI dev-tools / vibe-coding; ai agents,Seed; Series A,Bengaluru,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0074,Prosus Ventures,VC,Netherlands,6,15,AI dev-tools / vibe-coding; Edtech / AI; Home Services / Hyperlocal; edtech exec education; gaming/web3 distribution protocol; spacetech launch,; Pre-IPO Secondary; Pre-Series A; Seed; Series A; Strategic,Bengaluru; Gurugram; Mumbai,2,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0075,Khosla Ventures,Venture Capital,"Menlo Park, USA",4,14,AI / LLMs / sovereign models; AI / meeting transcription; AI dev-tools / vibe-coding; b2b manufacturing,; Series A; Series A ($41M total incl. seed); Series B; Series B first close (of $300M); Series C; Venture round,Bengaluru; San Francisco / Pleasanton,2,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0076,Creaegis,PE,"Bengaluru, India",3,11,AI dev-tools / vibe-coding; D2C jewellery; F&B / coffee chain (QSR),; Private growth round (primary + small secondary); Series C; Series D,Bengaluru,3,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0077,MNI Ventures-Claypond Capital,,,1,1,AI dev-tools / vibe-coding,Series C,Bengaluru,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0078,Sentinel Global,,,1,1,AI dev-tools / vibe-coding,Series C,Bengaluru,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
