metric,startup_id,company,value,population_description,population_size,threshold_distance,interpretation,confidence,notes
funding_total_inr,S0135,Delhivery,52350.0,all tracked companies with disclosed funding,254,35587.5,"Funding outlier > Q3+1.5*IQR (value=52350.0, median=4350.0)",MEDIUM,OUTLIER derived from FUNDING.amount_inr_mn; tracked universe only.
funding_total_inr,S0136,Erisha E Mobility,85700.0,all tracked companies with disclosed funding,254,68937.5,"Funding outlier > Q3+1.5*IQR (value=85700.0, median=4350.0)",MEDIUM,OUTLIER derived from FUNDING.amount_inr_mn; tracked universe only.
funding_total_inr,S0137,Freshworks,76735.0,all tracked companies with disclosed funding,254,59972.5,"Funding outlier > Q3+1.5*IQR (value=76735.0, median=4350.0)",MEDIUM,OUTLIER derived from FUNDING.amount_inr_mn; tracked universe only.
funding_total_inr,S0138,OYO,66500.0,all tracked companies with disclosed funding,254,49737.5,"Funding outlier > Q3+1.5*IQR (value=66500.0, median=4350.0)",MEDIUM,OUTLIER derived from FUNDING.amount_inr_mn; tracked universe only.
funding_total_inr,S0168,Blinkit,48677.6,all tracked companies with disclosed funding,254,31915.1,"Funding outlier > Q3+1.5*IQR (value=48677.6, median=4350.0)",MEDIUM,OUTLIER derived from FUNDING.amount_inr_mn; tracked universe only.
funding_total_inr,S0181,Inox Clean Energy,55000.0,all tracked companies with disclosed funding,254,38237.5,"Funding outlier > Q3+1.5*IQR (value=55000.0, median=4350.0)",MEDIUM,OUTLIER derived from FUNDING.amount_inr_mn; tracked universe only.
funding_total_inr,S0209,Arohan Financial Services,60444.0,all tracked companies with disclosed funding,254,43681.5,"Funding outlier > Q3+1.5*IQR (value=60444.0, median=4350.0)",MEDIUM,OUTLIER derived from FUNDING.amount_inr_mn; tracked universe only.
funding_total_inr,S0258,VerSe Innovation,68988.5,all tracked companies with disclosed funding,254,52226.0,"Funding outlier > Q3+1.5*IQR (value=68988.5, median=4350.0)",MEDIUM,OUTLIER derived from FUNDING.amount_inr_mn; tracked universe only.
funding_total_inr,S0286,MakeMyTrip,119980.0,all tracked companies with disclosed funding,254,103217.5,"Funding outlier > Q3+1.5*IQR (value=119980.0, median=4350.0)",MEDIUM,OUTLIER derived from FUNDING.amount_inr_mn; tracked universe only.
funding_total_inr,S0322,InsuranceDekho,74000.0,all tracked companies with disclosed funding,254,57237.5,"Funding outlier > Q3+1.5*IQR (value=74000.0, median=4350.0)",MEDIUM,OUTLIER derived from FUNDING.amount_inr_mn; tracked universe only.
